"","V1","V2","V3"
"1",468.71701,270.42099,7
"2",146.964005,247.378006,3
"3",416.662994,220.688004,6
"4",227.481003,85.849998,2
"5",377.425995,246.990005,7
"6",613.664001,207.528,1
"7",527.651978,84.945,4
"8",48.138,142.841003,1
"9",148.925995,130.746994,3
"10",367.403015,268.613007,7
"11",149.018997,141.856003,3
"12",319.630005,300.662994,1
"13",610.744019,77.305,1
"14",418.149994,218.552994,6
"15",562.992981,140.828003,4
"16",161.987,50.021999,2
"17",276.298004,130.962006,3
"18",514.122986,117.190002,4
"19",208.830002,211.136002,2
"20",267.799988,124.889,3
"21",301.481995,46.181999,5
"22",555.440979,53.792,4
"23",269.653015,164.266006,3
"24",556.515015,102.584999,4
"25",162.261002,235.716003,3
"26",560.664978,75.491997,4
"27",130.158005,130.776993,3
"28",97.491997,58.952999,2
"29",285.44101,210.697006,3
"30",91.515999,144.580994,2
"31",347.973999,241.699005,7
"32",492.307007,80.651001,4
"33",190.845993,136.141006,2
"34",446.381989,85.061996,1
"35",527.148987,78.042999,4
"36",39.441002,88.051003,1
"37",84.143997,130.552002,2
"38",142.873001,137.845001,3
"39",224.414993,109.936996,2
"40",369.403992,280.10199,7
"41",76.681,110.650002,2
"42",268.496002,232.936996,3
"43",431.572998,294.382996,1
"44",199.352005,80.032997,2
"45",471.407013,51.089001,4
"46",401.042999,176.983994,6
"47",372.82901,45.758999,5
"48",189.865005,93.966003,2
"49",396.677002,79.278,5
"50",512.229004,86.821999,4
"51",353.446991,109.286003,5
"52",519.507019,153.266006,4
"53",592.609985,99.494003,1
"54",163.016998,106.283997,1
"55",31.216999,155.220993,1
"56",290.17099,179.949005,3
"57",63.570999,58.949001,2
"58",328.589996,90.655998,5
"59",405.024994,159.343002,6
"60",420.90799,180.136993,6
"61",225.188004,141.759003,2
"62",326.781006,68.027,5
"63",437.174988,281.515991,7
"64",125.889999,255.348007,3
"65",558.507996,115.414001,4
"66",519.473999,114.166,4
"67",353.181,102.624001,5
"68",523.486023,123.114998,4
"69",279.834991,156,3
"70",192.397995,53.455002,2
"71",445.971008,272.470001,7
"72",243.501007,275.303986,3
"73",177.214005,68.156998,2
"74",181.908005,299.062012,1
"75",368.953003,243.751007,7
"76",149.393005,126.721001,3
"77",273.891998,219.988998,3
"78",298.089996,69.356003,5
"79",276.963013,155.419998,3
"80",478.194,72.762001,4
"81",200.929001,202.481003,2
"82",379.778992,217.906006,1
"83",503.156006,61.681999,4
"84",503.540009,128.119003,4
"85",260.235992,110.880997,3
"86",119.842003,268.526001,3
"87",201.878998,235.404007,3
"88",525.450989,119.217003,4
"89",499.835999,182.498001,4
"90",291.522003,154.110992,3
"91",274.209991,132.936996,3
"92",516.869995,185.158005,4
"93",571.820984,227.766006,4
"94",440.321014,71.176003,1
"95",511.407013,202.585999,4
"96",492.251007,78.785004,4
"97",352.503998,182.990005,1
"98",219.237,255.675995,3
