"x","labels","labels.1","labels.2","labels.3","labels.4","labels.5","labels.6","labels.7","labels"
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
54,54,54,54,54,54,54,54,54,54
54,54,54,54,54,54,54,54,54,54
53,53,53,53,53,53,53,53,53,53
53,53,53,53,53,53,53,53,53,53
0,0,0,0,0,0,0,0,0,0
53,53,53,53,53,53,53,53,53,53
51,51,51,51,51,51,51,51,51,51
52,52,52,52,52,52,52,52,52,52
52,52,52,52,52,52,52,52,52,52
52,52,52,52,52,52,52,52,52,52
52,52,52,52,52,52,52,52,52,52
0,0,0,0,0,0,0,0,0,0
51,51,51,51,51,51,51,51,51,51
51,51,51,51,51,51,51,51,51,51
50,50,50,50,50,50,50,50,50,50
49,49,49,49,49,49,49,49,49,49
0,0,0,0,0,0,0,0,0,0
49,49,49,49,49,49,49,49,49,49
49,49,49,49,49,49,49,49,49,49
49,49,49,49,49,49,49,49,49,49
0,0,0,0,0,0,0,0,0,0
49,49,49,49,49,49,49,49,49,49
0,0,0,0,0,0,0,0,0,0
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50
32,32,32,32,32,32,32,32,32,32
0,0,0,0,0,0,0,0,0,0
32,32,32,32,32,32,32,32,32,32
33,33,33,33,33,33,33,33,33,33
33,33,33,33,33,33,33,33,33,33
0,0,0,0,0,0,0,0,0,0
48,48,48,48,48,48,48,48,48,48
48,48,48,48,48,48,48,48,48,48
48,48,48,48,48,48,48,48,48,48
0,0,0,0,0,0,0,0,0,0
47,47,47,47,47,47,47,47,47,47
47,47,47,47,47,47,47,47,47,47
47,47,47,47,47,47,47,47,47,47
47,47,47,47,47,47,47,47,47,47
0,0,0,0,0,0,0,0,0,0
46,46,46,46,46,46,46,46,46,46
46,46,46,46,46,46,46,46,46,46
47,47,47,47,47,47,47,47,47,47
0,0,0,0,0,0,0,0,0,0
45,45,45,45,45,45,45,45,45,45
45,45,45,45,45,45,45,45,45,45
45,45,45,45,45,45,45,45,45,45
44,44,44,44,44,44,44,44,44,44
44,44,44,44,44,44,44,44,44,44
0,0,0,0,0,0,0,0,0,0
35,35,35,35,35,35,35,35,35,35
35,35,35,35,35,35,35,35,35,35
35,35,35,35,35,35,35,35,35,35
43,43,43,43,43,43,43,43,43,43
43,43,43,43,43,43,43,43,43,43
0,0,0,0,0,0,0,0,0,0
31,31,31,31,31,31,31,31,31,31
31,31,31,31,31,31,31,31,31,31
21,21,21,21,21,21,21,21,21,21
21,21,21,21,21,21,21,21,21,21
0,0,0,0,0,0,0,0,0,0
21,21,21,21,21,21,21,21,21,21
21,21,21,21,21,21,21,21,21,21
21,21,21,21,21,21,21,21,21,21
21,21,21,21,21,21,21,21,21,21
21,21,21,21,21,21,21,21,21,21
21,21,21,21,21,21,21,21,21,21
21,21,21,21,21,21,21,21,21,21
21,21,21,21,21,21,21,21,21,21
21,21,21,21,21,21,21,21,21,21
31,31,31,31,31,31,31,31,31,31
21,21,21,21,21,21,21,21,21,21
6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6
0,0,0,0,0,0,0,0,0,0
23,23,23,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,23,23
