"x","labels","labels.1","labels.2","labels.3","labels.4","labels.5","labels.6","labels.7","labels"
3,5,7,4,5,7,1,5,5,3
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
1,6,7,1,6,6,6,7,3,2
