"x","labels","labels.1","labels.2","labels.3","labels.4","labels.5","labels.6","labels.7","labels"
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
2,7,7,7,3,2,5,4,5,5
