"x","labels","labels.1","labels.2","labels.3","labels.4","labels.5","labels.6","labels.7","labels"
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
1,4,1,1,4,1,5,2,4,4
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
4,1,5,5,7,3,7,7,1,1
3,6,2,4,5,7,3,7,7,3
3,6,5,4,5,7,3,7,7,3
4,1,5,5,7,3,7,7,1,1
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,7,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,7,7,3
3,6,2,4,5,7,3,7,7,3
3,6,2,4,5,7,3,7,7,3
3,6,2,4,5,7,3,7,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,7,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
5,7,2,6,3,6,6,4,5,5
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
3,6,2,4,5,7,3,4,7,3
5,7,3,6,3,6,6,4,5,5
5,7,3,6,3,6,6,4,5,5
5,7,3,6,3,6,6,4,5,5
5,7,3,6,3,6,6,4,5,5
5,7,3,6,3,6,6,4,5,5
5,7,3,6,3,6,6,4,5,5
5,7,3,6,3,6,6,4,5,5
5,7,3,6,3,6,6,4,5,5
5,7,3,6,3,6,6,4,5,5
5,7,3,6,3,6,6,4,5,5
5,7,3,6,3,6,6,4,5,5
5,7,3,6,3,6,6,4,5,5
5,7,3,6,3,6,6,4,5,5
5,7,3,6,3,6,6,4,5,5
5,7,3,6,3,6,6,4,5,5
5,7,3,6,3,6,6,4,5,5
5,7,3,6,3,6,6,4,5,5
5,7,3,6,3,6,6,4,5,5
5,7,3,6,3,6,6,4,5,5
5,7,3,6,3,6,6,4,5,5
5,7,3,6,3,6,6,4,5,5
5,7,3,6,3,6,6,4,5,5
5,7,3,6,3,6,6,4,5,5
