"x","labels","labels.1","labels.2","labels.3","labels.4","labels.5","labels.6","labels.7","labels"
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
6,5,4,5,6,3,7,4,4,5
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,2,6,1,1,2
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
2,7,3,3,1,2,6,1,1,2
4,6,5,4,5,2,5,1,2,7
2,7,3,3,1,2,6,1,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,6,6,2,1,2
2,7,3,3,1,2,6,1,1,2
4,6,5,4,5,2,5,1,2,7
2,7,3,3,1,2,6,1,1,2
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
4,6,5,4,5,2,5,1,2,7
