"","Algorithme","Mean_Sil","Mean_ARI","Mean_Vmes","Mean_FM","Mean_F1","Mean_Precision","Mean_Recall","Mean_Accuracy","Mean_Overlap","Mean_Clusters","Min_Sil","Min_ARI","Min_Vmes","Min_FM","Min_F1","Min_Precision","Min_Recall","Min_Accuracy","Min_Overlap","Min_Clusters","Max_Sil","Max_ARI","Max_Vmes","Max_FM","Max_F1","Max_Precision","Max_Recall","Max_Accuracy","Max_Overlap","Max_Clusters","EC_Sil","EC_ARI","EC_Vmes","EC_FM","EC_F1","EC_Precision","EC_Recall","EC_Accuracy","EC_Overlap","EC_Clusters"
"1","kmeans_CardSil",0.359033876419711,0.656563761718556,0.73044193873677,0.921675563179676,0.892553472145419,0.952922758583136,0.891452991452991,0.946700507614213,0.984129799598811,14,0.359033876419711,0.656563761718556,0.73044193873677,0.921675563179676,0.892553472145419,0.952922758583136,0.891452991452991,0.946700507614213,0.984129799598811,14,0.359033876419711,0.656563761718556,0.73044193873677,0.921675563179676,0.892553472145419,0.952922758583136,0.891452991452991,0.946700507614213,0.984129799598811,14,0,0,0,0,0,0,0,0,0,0
"2","kmeans_Silhouette",0.40539740235007,0.559404348972889,0.692567353096406,0.951188490088905,0.947177811263729,0.967694805194805,0.934963729081376,0.965736040609137,0.987638594160179,18,0.40539740235007,0.559404348972889,0.692567353096406,0.951188490088905,0.947177811263729,0.967694805194805,0.934963729081376,0.965736040609137,0.987638594160179,18,0.40539740235007,0.559404348972889,0.692567353096406,0.951188490088905,0.947177811263729,0.967694805194805,0.934963729081376,0.965736040609137,0.987638594160179,18,0,0,0,0,0,0,0,0,0,0
"3","cmeans_CardSil",0.0982325614589256,0.573768681955702,0.643641701103423,0.778474335205107,0.733221636027463,0.82760989010989,0.732255979314803,0.916243654822335,0.943781887138075,31.9,0.0946957120189831,0.568674557958021,0.637909639258891,0.778474335205107,0.733221636027463,0.82760989010989,0.732255979314803,0.916243654822335,0.94366578731803,30,0.10186291135472,0.578864579248672,0.649387394436877,0.778474335205107,0.733221636027463,0.82760989010989,0.732255979314803,0.916243654822335,0.94389798695812,34,0.00254056158421597,0.00502489371799648,0.00537719409753688,0,0,0,0,0,0.00011609981961659,1.13578166916009
"4","cmeans_Silhouette",0.400449766084947,0.523843945395965,0.700564929389129,0.806085717529136,0.803708431602001,0.78736931703157,0.825247021885677,0.913705583756345,0.97120401963377,15,0.400449766084947,0.523843945395965,0.700564929389129,0.806085717529136,0.803708431602001,0.78736931703157,0.825247021885677,0.913705583756345,0.97120401963377,15,0.400449766084947,0.523843945395965,0.700564929389129,0.806085717529136,0.803708431602001,0.78736931703157,0.825247021885677,0.913705583756345,0.97120401963377,15,0,0,0,0,0,0,0,0,0,0
"5","cmeans_FuzzySilhouette",0.400449766084947,0.523843945395965,0.700564929389129,0.806085717529136,0.803708431602001,0.78736931703157,0.825247021885677,0.913705583756345,0.97120401963377,15,0.400449766084947,0.523843945395965,0.700564929389129,0.806085717529136,0.803708431602001,0.78736931703157,0.825247021885677,0.913705583756345,0.97120401963377,15,0.400449766084947,0.523843945395965,0.700564929389129,0.806085717529136,0.803708431602001,0.78736931703157,0.825247021885677,0.913705583756345,0.97120401963377,15,0,0,0,0,0,0,0,0,0,0
"6","cmeans_Mass25",0.308366003862002,0.659909183502706,0.727064020962006,0.746894944096885,0.733640124823165,0.754928626124184,0.739326807646135,0.898096446700508,0.951046188378408,11.5,0.180750146896483,0.625176520741153,0.698305728714681,0.622446929531915,0.596067256630737,0.636853325762975,0.608366423492474,0.854060913705584,0.928218061262005,8,0.411230935893147,0.693035334108228,0.756330541124746,0.93920464425051,0.933179780073155,0.957430797838268,0.921325453258226,0.953045685279188,0.983697650268642,14,0.0610236132778785,0.0279859114441819,0.0180034879822183,0.121922841854145,0.12133992626693,0.131761212313428,0.114409755698431,0.0319335841117628,0.0240491062970218,1.85741756210067
"7","cmeans_Mass50",0.335649129296968,0.626330040458712,0.701345318947581,0.902747546180178,0.886596153661971,0.921647775631812,0.88470742143011,0.940609137055838,0.980118228316746,13.6,0.309263314322456,0.574848396890782,0.658948227528934,0.683504199916412,0.682261424220254,0.663978099723192,0.703604518730569,0.892131979695431,0.938105895935861,12,0.356507463519297,0.686379703919643,0.729434572530862,0.981817258752984,0.980990699312646,0.973748473748474,0.989952904238618,0.978426395939086,0.994904507898013,19,0.0169100572501562,0.0284289661142103,0.0214225618210491,0.0787413792663858,0.0786790543000371,0.0868397117417029,0.0755105946307869,0.0237197644516887,0.0149272194330469,2.72763633939718
"8","cmeans_Mass100",0.216826658673443,0.503567280634162,0.604251616382419,0.981160948745963,0.980862736503157,0.984490696195765,0.977848062301844,0.989213197969543,0.999042176484626,29.6,0.200794746097045,0.493648613209226,0.597141142485795,0.979842280192904,0.979525398892528,0.983954524737935,0.975747221965709,0.988578680203046,0.998955101619592,26,0.238414503173863,0.5131714857245,0.611226875846388,0.993028965723492,0.992898774998823,0.989316239316239,0.996755625327054,0.99492385786802,0.999825850269932,32,0.01621596291602,0.0090807066950553,0.00609583052027842,0.00395600565917338,0.00401201283191058,0.00160851437351005,0.00630252100840402,0.00190355329946909,0.000261224594974061,2.49799919935934
"9","ecm_CardSil",0.199812023957162,0.45874749795613,0.651628724988832,0.704612586004983,0.651664421228229,0.774552181351583,0.64156862745098,0.881218274111675,0.951328697940518,31,0.182197756531741,0.457232894954364,0.649214236373136,0.63624244116002,0.609995790525542,0.65569503849444,0.617366946778712,0.873096446700508,0.950983300975883,26,0.219492937998525,0.460476951204664,0.653915379161343,0.721705122216223,0.662081578903901,0.804266467065868,0.647619047619048,0.883248730964467,0.951412225311051,35,0.0118569220437058,0.00136475008626657,0.00122500320708365,0.0341850724224818,0.0208343153513427,0.0594285714285717,0.0121008403361331,0.00406091370557562,0.000167130990173854,3.37638860322682
"10","ecm_Silhouette",0.297255155551921,0.314111762183756,0.574495132357649,0.920180854529514,0.895586001443265,0.950833299827108,0.890548834918583,0.951776649746193,0.986848470384871,63.5,0.281351996235573,0.312168234939669,0.571280193176381,0.91146290659946,0.883782178700509,0.925709159261791,0.889223381660356,0.944162436548223,0.986113171524584,60,0.306898843711058,0.316846443109682,0.578261487324206,0.922732841739622,0.89742832653304,0.956601061477222,0.897435897435897,0.953045685279188,0.986935545249905,66,0.00928283861975185,0.00124834739210678,0.0022517293656012,0.00359961042319606,0.00399853270424334,0.00927791485857074,0.00232624463198312,0.00260074892536425,0.000245205682790734,1.4317821063277
