"","Algorithme","Mean_Sil","Mean_ARI","Mean_Vmes","Mean_FM","Mean_F1","Mean_Precision","Mean_Recall","Mean_Accuracy","Mean_Overlap","Mean_Clusters","Min_Sil","Min_ARI","Min_Vmes","Min_FM","Min_F1","Min_Precision","Min_Recall","Min_Accuracy","Min_Overlap","Min_Clusters","Max_Sil","Max_ARI","Max_Vmes","Max_FM","Max_F1","Max_Precision","Max_Recall","Max_Accuracy","Max_Overlap","Max_Clusters","EC_Sil","EC_ARI","EC_Vmes","EC_FM","EC_F1","EC_Precision","EC_Recall","EC_Accuracy","EC_Overlap","EC_Clusters"
"1","kmeans_CardSil",0.440452780487156,0.529496238495699,0.703209476777821,0.971566185261097,0.967652549287791,0.953520968827091,0.989952904238618,0.978426395939086,0.997697353569102,13,0.440452780487156,0.529496238495699,0.703209476777821,0.971566185261097,0.967652549287791,0.953520968827091,0.989952904238618,0.978426395939086,0.997697353569102,13,0.440452780487156,0.529496238495699,0.703209476777821,0.971566185261097,0.967652549287791,0.953520968827091,0.989952904238618,0.978426395939086,0.997697353569102,13,0,0,0,0,0,0,0,0,0,0
"2","kmeans_Silhouette",0.474782533576544,0.721679498080606,0.789410780512369,0.971566185261097,0.967652549287791,0.953520968827091,0.989952904238618,0.978426395939086,0.997697353569102,9,0.474782533576544,0.721679498080606,0.789410780512369,0.971566185261097,0.967652549287791,0.953520968827091,0.989952904238618,0.978426395939086,0.997697353569102,9,0.474782533576544,0.721679498080606,0.789410780512369,0.971566185261097,0.967652549287791,0.953520968827091,0.989952904238618,0.978426395939086,0.997697353569102,9,0,0,0,0,0,0,0,0,0,0
"3","cmeans_CardSil",0.442311373685931,0.492381815261448,0.675800835566585,0.971566185261097,0.967652549287791,0.953520968827091,0.989952904238618,0.978426395939086,0.997697353569102,16,0.442311373685931,0.492381815261448,0.675800835566585,0.971566185261097,0.967652549287791,0.953520968827091,0.989952904238618,0.978426395939086,0.997697353569102,16,0.442311373685931,0.492381815261448,0.675800835566585,0.971566185261097,0.967652549287791,0.953520968827091,0.989952904238618,0.978426395939086,0.997697353569102,16,0,0,0,0,0,0,0,0,0,0
"4","cmeans_Silhouette",0.476389805033638,0.721034440918525,0.7925444197973,0.971566185261097,0.967652549287791,0.953520968827091,0.989952904238618,0.978426395939086,0.997697353569102,9,0.476389805033638,0.721034440918525,0.7925444197973,0.971566185261097,0.967652549287791,0.953520968827091,0.989952904238618,0.978426395939086,0.997697353569102,9,0.476389805033638,0.721034440918525,0.7925444197973,0.971566185261097,0.967652549287791,0.953520968827091,0.989952904238618,0.978426395939086,0.997697353569102,9,0,0,0,0,0,0,0,0,0,0
"5","cmeans_FuzzySilhouette",0.293381553321437,0.290413975286781,0.567704032705464,0.995164712741234,0.995112256778885,0.996731370818962,0.993600517129929,0.996192893401015,0.999809725294926,38,0.293381553321437,0.290413975286781,0.567704032705464,0.995164712741234,0.995112256778885,0.996731370818962,0.993600517129929,0.996192893401015,0.999809725294926,38,0.293381553321437,0.290413975286781,0.567704032705464,0.995164712741234,0.995112256778885,0.996731370818962,0.993600517129929,0.996192893401015,0.999809725294926,38,0,0,0,0,0,0,0,0,0,0
"6","cmeans_Mass25",0.3666600678902,0.861053523602253,0.842832262794885,0.846303881596236,0.845852683141268,0.838574292157354,0.854104718810601,0.953045685279188,0.969407697418069,10.2,0.357441377521961,0.853516532431712,0.826392576878317,0.846303881596236,0.845852683141268,0.838574292157354,0.854104718810601,0.953045685279188,0.969407697418069,10,0.36896474048226,0.862937771394888,0.846942184274026,0.846303881596236,0.845852683141268,0.838574292157354,0.854104718810601,0.953045685279188,0.969407697418069,11,0.00460934518411937,0.00376849558527613,0.00821984295829016,0,0,0,0,0,0,0.400000000000014
"7","cmeans_Mass50",0.302173630736436,0.558262002666256,0.649681963521695,0.978645743505138,0.97589046153512,0.966484089424652,0.991047188106012,0.983756345177665,0.998678719547985,24.9,0.22935353104204,0.442177103430804,0.610787333258131,0.971566185261097,0.967652549287791,0.953520968827091,0.989952904238618,0.978426395939086,0.998194002799296,23,0.342353851576915,0.774441212097497,0.719936392233623,0.995164712741234,0.995112256778885,0.996731370818962,0.993600517129929,0.996192893401015,0.999809725294926,27,0.0423710300542115,0.126878196747072,0.0333138321495034,0.0108142038467213,0.0125836188139325,0.0198014937937209,0.00167154621801489,0.00814163194535131,0.000740417063933738,1.51327459504218
"8","cmeans_Mass100",0.293861536036302,0.290880870391481,0.568580512740705,0.995164712741234,0.995112256778885,0.996731370818962,0.993600517129929,0.996192893401015,0.999809725294926,37,0.293861536036302,0.290880870391481,0.568580512740705,0.995164712741234,0.995112256778885,0.996731370818962,0.993600517129929,0.996192893401015,0.999809725294926,37,0.293861536036302,0.290880870391481,0.568580512740705,0.995164712741234,0.995112256778885,0.996731370818962,0.993600517129929,0.996192893401015,0.999809725294926,37,0,0,0,0,0,0,0,0,0,0
"9","ecm_CardSil",0.429683966234434,0.522420532954099,0.69902604494817,0.971566185261097,0.967652549287791,0.953520968827091,0.989952904238618,0.978426395939086,0.997697353569102,14,0.429683966234434,0.522420532954099,0.69902604494817,0.971566185261097,0.967652549287791,0.953520968827091,0.989952904238618,0.978426395939086,0.997697353569102,14,0.429683966234434,0.522420532954099,0.69902604494817,0.971566185261097,0.967652549287791,0.953520968827091,0.989952904238618,0.978426395939086,0.997697353569102,14,0,0,0,0,0,0,0,0,0,0
"10","ecm_Silhouette",0.476389805033638,0.721034440918525,0.7925444197973,0.971566185261097,0.967652549287791,0.953520968827091,0.989952904238618,0.978426395939086,0.997697353569102,9,0.476389805033638,0.721034440918525,0.7925444197973,0.971566185261097,0.967652549287791,0.953520968827091,0.989952904238618,0.978426395939086,0.997697353569102,9,0.476389805033638,0.721034440918525,0.7925444197973,0.971566185261097,0.967652549287791,0.953520968827091,0.989952904238618,0.978426395939086,0.997697353569102,9,0,0,0,0,0,0,0,0,0,0
"11","ecm_FuzzySilhouette",0.291912853569006,0.289946903849844,0.564546262340323,0.995164712741234,0.995112256778885,0.996731370818962,0.993600517129929,0.996192893401015,0.999809725294926,38,0.291912853569006,0.289946903849844,0.564546262340323,0.995164712741234,0.995112256778885,0.996731370818962,0.993600517129929,0.996192893401015,0.999809725294926,38,0.291912853569006,0.289946903849844,0.564546262340323,0.995164712741234,0.995112256778885,0.996731370818962,0.993600517129929,0.996192893401015,0.999809725294926,38,0,0,0,0,0,0,0,0,0,0
"12","ecm_Mass25",0.431412738666556,0.906161616081549,0.927322988609962,0.846303881596236,0.845852683141268,0.838574292157354,0.854104718810601,0.953045685279188,0.969407697418069,7.7,0.428034040148885,0.905817343998029,0.925284846772897,0.846303881596236,0.845852683141268,0.838574292157354,0.854104718810601,0.953045685279188,0.969407697418069,7,0.43929636854112,0.906964917609761,0.932078652896447,0.846303881596236,0.845852683141268,0.838574292157354,0.854104718810601,0.953045685279188,0.969407697418069,8,0.00516104723589023,0.000525884294119154,0.00311331308181313,0,0,0,0,0,0,0.458257569495577
"13","ecm_Mass50",0.426127164036577,0.905648890696298,0.924366326880063,0.846303881596236,0.845852683141268,0.838574292157354,0.854104718810601,0.953045685279188,0.969407697418069,8.4,0.421191525506766,0.905357917296684,0.922840184281741,0.846303881596236,0.845852683141268,0.838574292157354,0.854104718810601,0.953045685279188,0.969407697418069,8,0.428034040148885,0.905817343998029,0.925284846772897,0.846303881596236,0.845852683141268,0.838574292157354,0.854104718810601,0.953045685279188,0.969407697418069,9,0.00267900228507971,0.000207728976099156,0.0011288590672585,0,0,0,0,0,0,0.48989794855663
"14","ecm_Mass100",0.289613994560688,0.371560789343809,0.598453129131278,0.995164712741234,0.995112256778885,0.996731370818962,0.993600517129929,0.996192893401015,0.999709105450887,31,0.286888800997986,0.363302646267215,0.597124272586614,0.995164712741234,0.995112256778885,0.996731370818962,0.993600517129929,0.996192893401015,0.99964202555486,29,0.307184325769053,0.388915464718725,0.600214552651159,0.995164712741234,0.995112256778885,0.996731370818962,0.993600517129929,0.996192893401015,0.999809725294926,32,0.00588668160951811,0.00985763440201887,0.000794774041135388,0,0,0,0,0,8.21557586645083e-05,0.89442719099989
"15","hclust",0.495079575827905,0.98548857047173,0.979653660868675,0.990607394164742,0.99041376165851,0.986672656483977,0.994557823129252,0.99238578680203,0.998464902379401,7,0.495079575827905,0.98548857047173,0.979653660868675,0.990607394164742,0.99041376165851,0.986672656483977,0.994557823129252,0.99238578680203,0.998464902379401,7,0.495079575827905,0.98548857047173,0.979653660868675,0.990607394164742,0.99041376165851,0.986672656483977,0.994557823129252,0.99238578680203,0.998464902379401,7,0,0,0,0,0,0,0,0,0,0
"16","hdbscanafter",0.384521353104804,0.687124668701522,0.729059705431596,0.992217938313716,0.992077442093937,0.988791029232206,0.995656724228153,0.993654822335025,0.998900276704571,12,0.384521353104804,0.687124668701522,0.729059705431596,0.992217938313716,0.992077442093937,0.988791029232206,0.995656724228153,0.993654822335025,0.998900276704571,12,0.384521353104804,0.687124668701522,0.729059705431596,0.992217938313716,0.992077442093937,0.988791029232206,0.995656724228153,0.993654822335025,0.998900276704571,12,0,0,0,0,0,0,0,0,0,0
"17","hdbscanbefore",0.489783424863255,0.98338306414934,0.976896245364657,0.992217938313716,0.992077442093937,0.988791029232206,0.995656724228153,0.993654822335025,0.999116351369655,8,0.489783424863255,0.98338306414934,0.976896245364657,0.992217938313716,0.992077442093937,0.988791029232206,0.995656724228153,0.993654822335025,0.999116351369655,8,0.489783424863255,0.98338306414934,0.976896245364657,0.992217938313716,0.992077442093937,0.988791029232206,0.995656724228153,0.993654822335025,0.999116351369655,8,0,0,0,0,0,0,0,0,0,0
"18","kmeans",0.497770541234711,0.955902745461059,0.936353052624493,0.972968682831176,0.969427110273901,0.955773818018716,0.99047619047619,0.979695431472081,0.997807003399145,7,0.497637563575202,0.953133289922364,0.934385708539929,0.971566185261097,0.967652549287791,0.953520968827091,0.989952904238618,0.978426395939086,0.997697353569102,7,0.497803785649589,0.966980567615841,0.94422242896275,0.978578673111494,0.976525354218341,0.964785214785215,0.992569335426478,0.984771573604061,0.998245602719316,7,6.64888297137883e-05,0.00553891107738449,0.00393468816913267,0.00280499514014226,0.00354912197221152,0.00450569838324156,0.00104657247516108,0.00253807106598066,0.000219299659772665,0
"19","cmeans",0.457865488342459,0.845077046673596,0.877663602174719,0.890089196149186,0.888485487430672,0.873015820437685,0.907502077754179,0.95253807106599,0.990200530189178,7,0.431519428080782,0.767668638954882,0.835209677126343,0.833321353036597,0.832253155553887,0.815542019216141,0.851488287622741,0.932741116751269,0.985006998239153,7,0.497384578734975,0.961189658251668,0.941344489747283,0.975240960818069,0.972833985245849,0.95922652227,0.991522762951334,0.982233502538071,0.997990828114216,7,0.0322672021868631,0.0948055503560846,0.0519952269734419,0.0695261247121047,0.0688702600724821,0.0703907432854662,0.0686026021906825,0.0242462182661262,0.00636075162020183,0
"20","ecm",0.422677956634272,0.792518697061139,0.811763218148462,0.826332487320909,0.818431389325934,0.789598231602708,0.864863791670514,0.948730964467005,0.994144699075716,7,0.414245113300678,0.772162855778145,0.79725562859097,0.808445190867103,0.799867939562373,0.768522539516673,0.850441715147597,0.944162436548223,0.99364030985752,7,0.497976808199865,0.955876089466166,0.935179279991525,0.972874740534965,0.969355975337238,0.955586080586081,0.990476190476191,0.979695431472081,0.997807003399145,7,0.0250996270408475,0.054457486519873,0.0411939154059246,0.0488503834057117,0.0503117939735873,0.0553363284462496,0.0418710902606044,0.0103284212940915,0.00122120575322083,0
