"x","labels","labels.1","labels.2","labels.3","labels.4","labels.5","labels.6","labels.7","labels"
196,196,196,196,196,196,196,196,196,196
170,170,170,170,170,170,170,170,170,170
196,196,196,196,196,196,196,196,196,196
0,0,0,0,0,0,0,0,0,0
196,196,196,196,196,196,196,196,196,196
193,193,193,193,193,193,193,193,193,193
168,168,168,168,168,168,168,168,168,168
193,193,193,193,193,193,193,193,193,193
194,194,194,194,194,194,194,194,194,194
196,196,196,196,196,196,196,196,196,196
170,170,170,170,170,170,170,170,170,170
190,190,190,190,190,190,190,190,190,190
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
170,170,170,170,170,170,170,170,170,170
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
188,188,188,188,188,188,188,188,188,188
0,0,0,0,0,0,0,0,0,0
190,190,190,190,190,190,190,190,190,190
188,188,188,188,188,188,188,188,188,188
191,191,191,191,191,191,191,191,191,191
0,0,0,0,0,0,0,0,0,0
191,191,191,191,191,191,191,191,191,191
196,196,196,196,196,196,196,196,196,196
195,195,195,195,195,195,195,195,195,195
169,169,169,169,169,169,169,169,169,169
0,0,0,0,0,0,0,0,0,0
187,187,187,187,187,187,187,187,187,187
193,193,193,193,193,193,193,193,193,193
0,0,0,0,0,0,0,0,0,0
196,196,196,196,196,196,196,196,196,196
196,196,196,196,196,196,196,196,196,196
188,188,188,188,188,188,188,188,188,188
196,196,196,196,196,196,196,196,196,196
193,193,193,193,193,193,193,193,193,193
168,168,168,168,168,168,168,168,168,168
195,195,195,195,195,195,195,195,195,195
194,194,194,194,194,194,194,194,194,194
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
188,188,188,188,188,188,188,188,188,188
189,189,189,189,189,189,189,189,189,189
195,195,195,195,195,195,195,195,195,195
0,0,0,0,0,0,0,0,0,0
168,168,168,168,168,168,168,168,168,168
170,170,170,170,170,170,170,170,170,170
0,0,0,0,0,0,0,0,0,0
187,187,187,187,187,187,187,187,187,187
196,196,196,196,196,196,196,196,196,196
188,188,188,188,188,188,188,188,188,188
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
188,188,188,188,188,188,188,188,188,188
170,170,170,170,170,170,170,170,170,170
169,169,169,169,169,169,169,169,169,169
183,183,183,183,183,183,183,183,183,183
188,188,188,188,188,188,188,188,188,188
169,169,169,169,169,169,169,169,169,169
0,0,0,0,0,0,0,0,0,0
170,170,170,170,170,170,170,170,170,170
194,194,194,194,194,194,194,194,194,194
191,191,191,191,191,191,191,191,191,191
0,0,0,0,0,0,0,0,0,0
169,169,169,169,169,169,169,169,169,169
188,188,188,188,188,188,188,188,188,188
196,196,196,196,196,196,196,196,196,196
193,193,193,193,193,193,193,193,193,193
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
191,191,191,191,191,191,191,191,191,191
189,189,189,189,189,189,189,189,189,189
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
191,191,191,191,191,191,191,191,191,191
187,187,187,187,187,187,187,187,187,187
195,195,195,195,195,195,195,195,195,195
192,192,192,192,192,192,192,192,192,192
196,196,196,196,196,196,196,196,196,196
0,0,0,0,0,0,0,0,0,0
183,183,183,183,183,183,183,183,183,183
170,170,170,170,170,170,170,170,170,170
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
170,170,170,170,170,170,170,170,170,170
194,194,194,194,194,194,194,194,194,194
0,0,0,0,0,0,0,0,0,0
192,192,192,192,192,192,192,192,192,192
183,183,183,183,183,183,183,183,183,183
188,188,188,188,188,188,188,188,188,188
0,0,0,0,0,0,0,0,0,0
189,189,189,189,189,189,189,189,189,189
194,194,194,194,194,194,194,194,194,194
195,195,195,195,195,195,195,195,195,195
191,191,191,191,191,191,191,191,191,191
196,196,196,196,196,196,196,196,196,196
196,196,196,196,196,196,196,196,196,196
190,190,190,190,190,190,190,190,190,190
196,196,196,196,196,196,196,196,196,196
165,165,165,165,165,165,165,165,165,165
0,0,0,0,0,0,0,0,0,0
157,157,157,157,157,157,157,157,157,157
163,163,163,163,163,163,163,163,163,163
163,163,163,163,163,163,163,163,163,163
161,161,161,161,161,161,161,161,161,161
160,160,160,160,160,160,160,160,160,160
165,165,165,165,165,165,165,165,165,165
155,155,155,155,155,155,155,155,155,155
164,164,164,164,164,164,164,164,164,164
156,156,156,156,156,156,156,156,156,156
0,0,0,0,0,0,0,0,0,0
165,165,165,165,165,165,165,165,165,165
0,0,0,0,0,0,0,0,0,0
158,158,158,158,158,158,158,158,158,158
164,164,164,164,164,164,164,164,164,164
0,0,0,0,0,0,0,0,0,0
167,167,167,167,167,167,167,167,167,167
165,165,165,165,165,165,165,165,165,165
163,163,163,163,163,163,163,163,163,163
166,166,166,166,166,166,166,166,166,166
