"","Algorithme","Mean_Sil","Mean_ARI","Mean_Vmes","Mean_FM","Mean_F1","Mean_Precision","Mean_Recall","Mean_Accuracy","Mean_Overlap","Mean_Clusters","Min_Sil","Min_ARI","Min_Vmes","Min_FM","Min_F1","Min_Precision","Min_Recall","Min_Accuracy","Min_Overlap","Min_Clusters","Max_Sil","Max_ARI","Max_Vmes","Max_FM","Max_F1","Max_Precision","Max_Recall","Max_Accuracy","Max_Overlap","Max_Clusters","EC_Sil","EC_ARI","EC_Vmes","EC_FM","EC_F1","EC_Precision","EC_Recall","EC_Accuracy","EC_Overlap","EC_Clusters"
"1","kmeans_CardSil",0.233384906886974,-0.028513430168098,0.25473738927587,0.358168191292863,0.273059190211695,0.354620302898136,0.361754385964912,0.713899371069182,0.928907781880935,29.4,0.228014126649543,-0.0299800706391044,0.25466768642641,0.355085768796796,0.265007305796685,0.353772900935992,0.35640350877193,0.710062893081761,0.928816430570233,29,0.234746060228217,-0.0280192308365206,0.254762736841344,0.360135688061983,0.278064285337383,0.355165490631998,0.365175438596491,0.716352201257862,0.929099825450918,31,0.00230601076861019,0.000765748062081035,3.95734007930601e-05,0.00138234510179621,0.00358637693490639,0.000380811199969689,0.0024006898567399,0.00172124933122893,7.27245809856775e-05,0.800000000000063
"2","kmeans_Silhouette",0.48035348355959,0.0847175035561331,0.26035120274357,0.244165780997762,0.214094185736777,0.182500804318805,0.326666666666667,0.689308176100629,0.913130603084888,6,0.478785862405436,0.0842423540403322,0.259955040746807,0.244113179766329,0.214078743219991,0.182422177149882,0.326666666666667,0.689308176100629,0.913063474912033,6,0.481012777844988,0.0847880533762697,0.26048089984297,0.244183339905843,0.214140602326256,0.182527051492569,0.326666666666667,0.689308176100629,0.913340536946222,6,0.00100734379649431,0.000161487718648054,0.000201400395349029,2.82942153652963e-05,2.49224836031476e-05,4.22940119609583e-05,0,0,0.000110539922285801,0
"3","cmeans_CardSil",0.190947041606199,-0.0467703738013407,0.253780820498876,0.344610869926081,0.261958484118987,0.335007585432231,0.354525438596491,0.706729559748428,0.93077312181626,47.4,0.173650827553643,-0.0485569011386015,0.253721068677117,0.340397387109369,0.255597012114614,0.330357439937732,0.350473684210526,0.70377358490566,0.930537381605456,42,0.218347200915084,-0.0442518998183595,0.253878349298371,0.353029335638498,0.265188961737278,0.353163985772681,0.356614035087719,0.708176100628931,0.930939517357936,53,0.0127973705499656,0.0012114223816012,4.54734884378798e-05,0.00315709643546247,0.00282491407607241,0.00629045086478515,0.00182224654943312,0.00119496855343644,0.000111048950533163,2.97321374946373
"4","cmeans_Silhouette",0.479712420109056,0.0850951249413529,0.260407954733715,0.244148071104057,0.214109450175313,0.1824743284403,0.326666666666667,0.689308176100629,0.913209763666085,6,0.479687251341395,0.0850916841196943,0.260381438447424,0.244148071104057,0.214109450175313,0.1824743284403,0.326666666666667,0.689308176100629,0.913208338775623,6,0.479718712300972,0.0850959851467676,0.260414583805288,0.244148071104057,0.214109450175313,0.1824743284403,0.326666666666667,0.689308176100629,0.913215463227931,6,1.2584383522278e-05,1.72041119649075e-06,1.32581433121895e-05,0,0,0,0,0,2.84978620691676e-06,0
"5","cmeans_FuzzySilhouette",0.4796935091567,0.085093711313569,0.260390131223287,0.244148071104057,0.214109450175313,0.1824743284403,0.326666666666667,0.689308176100629,0.913215067425025,6,0.479655446615718,0.0850916841196943,0.260368930132457,0.244148071104057,0.214109450175313,0.1824743284403,0.326666666666667,0.689308176100629,0.913208338775623,6,0.479718712300972,0.0850990529772219,0.260414583805288,0.244148071104057,0.214109450175313,0.1824743284403,0.326666666666667,0.689308176100629,0.913232878555794,6,1.89454852767026e-05,2.62109533230329e-06,1.64215059932783e-05,0,0,0,0,0,6.73796171712125e-06,0
"6","cmeans_Mass25",0.272937813294112,0.106054218813104,0.304356085667663,0.72819458707397,0.675117754472472,0.721104551230473,0.736758771929825,0.844968553459119,0.971209059136912,31.4,0.195924034680268,-0.00462563498962014,0.255743402349123,0.312412108505807,0.229558411936349,0.291004344492717,0.335394736842105,0.692452830188679,0.922767770560971,25,0.323039414610009,0.144115282361301,0.317486566069484,0.868395998050777,0.799381949908917,0.89737707176502,0.84390350877193,0.885534591194969,0.985554777143174,38,0.040251520950249,0.0549703954470386,0.0242864624059116,0.203228959895645,0.222292138621709,0.211184972768799,0.200297323865872,0.0753517127994503,0.02380225074437,4.10365690573664
"7","cmeans_Mass50",0.285324594036865,0.0325718903986202,0.290923328679646,0.872935678296662,0.831431085627705,0.886157121694196,0.859926315789474,0.899433962264151,0.99661263957,98.5,0.24835076768319,0.0256842324904779,0.290230187137169,0.867284119570818,0.822899891802775,0.876731443410961,0.857894736842105,0.89559748427673,0.993687735255352,88,0.309769522430091,0.0483031779164433,0.291898197123561,0.878726106524565,0.847568966990652,0.900063302789484,0.864078947368421,0.905660377358491,0.997668720883749,105,0.02205856856987,0.00768155747617538,0.000466144968856595,0.00383363607317587,0.00940313612022893,0.00728982435082505,0.00202490723430135,0.00348418590803472,0.00125290932938868,5.86941223633174
"8","cmeans_Mass100",0.215889737630193,0.044597427151926,0.300728799623318,0.768210102076773,0.71824879905872,0.775706762934995,0.760959649122807,0.861635220125786,0.980295743931352,86.2,0.155079894364443,-0.0649364927811314,0.252984147009969,0.349165347071738,0.271707634048832,0.336239847923381,0.361,0.711320754716981,0.932681841750082,76,0.261041905482566,0.0829074343832783,0.313338913002118,0.880850245895101,0.837313624279095,0.901654187044387,0.865210526315789,0.90188679245283,0.993581660076548,94,0.0323682693852305,0.0552334703428783,0.023877444389854,0.209450756879284,0.222760013601019,0.219309119968116,0.199595874686205,0.0750196103207467,0.0238211892333131,5.77581163127743
"9","ecm_CardSil",0.236696679953583,0.0519821536589595,0.295218076584933,0.856305830023249,0.817875520783685,0.864046644284942,0.848640350877193,0.895723270440252,0.994327590233168,82.4,0.228039670634878,0.0439391326702458,0.294314576874496,0.849668881789171,0.808226402367718,0.85800650316008,0.841412280701754,0.893710691823899,0.993813600579455,77,0.245737744741834,0.0592264048820315,0.295570508652925,0.863684817389801,0.82932318077837,0.873109103312262,0.859254385964912,0.89937106918239,0.994822897989717,86,0.00541858406032132,0.00667432113875601,0.000347148883931678,0.00477785048600711,0.00576880302250043,0.00503866873223805,0.00553154862251554,0.00188259491159267,0.000405515798774115,2.69072480941453
"10","ecm_Silhouette",0.306344580102442,0.0296100611463428,0.304757552313027,0.213907039438177,0.132249395152281,0.271819137749737,0.168333333333333,0.629559748427673,0.911109316804604,6,0.30574315774391,0.0294074224770321,0.304368754502279,0.213907039438177,0.132249395152281,0.271819137749737,0.168333333333333,0.629559748427673,0.911057545784501,6,0.307130991961242,0.0298781618029534,0.304850494121009,0.213907039438177,0.132249395152281,0.271819137749737,0.168333333333333,0.629559748427673,0.911170745415613,6,0.000445726275344434,0.000192478099195911,0.000138614197463084,0,0,0,0,0,4.57808307698778e-05,0
