"","Algorithme","Mean_Sil","Mean_ARI","Mean_Vmes","Mean_FM","Mean_F1","Mean_Precision","Mean_Recall","Mean_Accuracy","Mean_Overlap","Mean_Clusters","Min_Sil","Min_ARI","Min_Vmes","Min_FM","Min_F1","Min_Precision","Min_Recall","Min_Accuracy","Min_Overlap","Min_Clusters","Max_Sil","Max_ARI","Max_Vmes","Max_FM","Max_F1","Max_Precision","Max_Recall","Max_Accuracy","Max_Overlap","Max_Clusters","EC_Sil","EC_ARI","EC_Vmes","EC_FM","EC_F1","EC_Precision","EC_Recall","EC_Accuracy","EC_Overlap","EC_Clusters"
"1","kmeans_CardSil",0.283568055420817,0.122525841381016,0.325943388612339,0.689804132733649,0.603868874555271,0.717331268647872,0.663333333333333,0.816352201257862,0.947119940154601,12,0.283568055420817,0.122525841381016,0.325943388612339,0.689804132733649,0.603868874555271,0.717331268647872,0.663333333333333,0.816352201257862,0.947119940154601,12,0.283568055420817,0.122525841381016,0.325943388612339,0.689804132733649,0.603868874555271,0.717331268647872,0.663333333333333,0.816352201257862,0.947119940154601,12,0,0,0,0,0,0,0,0,0,0
"2","kmeans_Silhouette",0.449254621324343,0.178485658535449,0.334411903678493,0.756567522256755,0.753081484568192,0.695215889555133,0.823333333333333,0.876729559748428,0.977991775215614,10,0.449254621324343,0.178485658535449,0.334411903678493,0.756567522256755,0.753081484568192,0.695215889555133,0.823333333333333,0.876729559748428,0.977991775215614,10,0.449254621324343,0.178485658535449,0.334411903678493,0.756567522256755,0.753081484568192,0.695215889555133,0.823333333333333,0.876729559748428,0.977991775215614,10,0,0,0,0,0,0,0,0,0,0
"3","cmeans_CardSil",0.316693686718946,0.175491500257529,0.329114154736503,0.739295168703654,0.735548322611886,0.68749351757052,0.795,0.866037735849057,0.978193634697666,14,0.316693686718946,0.175491500257529,0.329114154736503,0.739295168703654,0.735548322611886,0.68749351757052,0.795,0.866037735849057,0.978193634697666,14,0.316693686718946,0.175491500257529,0.329114154736503,0.739295168703654,0.735548322611886,0.68749351757052,0.795,0.866037735849057,0.978193634697666,14,0,0,0,0,0,0,0,0,0,0
"4","cmeans_Silhouette",0.297931011503072,0.194096705117958,0.327917296645274,0.479638963886938,0.360671060660502,0.458578476435619,0.501666666666667,0.755345911949686,0.948054826618537,7,0.297931011503072,0.194096705117958,0.327917296645274,0.479638963886938,0.360671060660502,0.458578476435619,0.501666666666667,0.755345911949686,0.948054826618537,7,0.297931011503072,0.194096705117958,0.327917296645274,0.479638963886938,0.360671060660502,0.458578476435619,0.501666666666667,0.755345911949686,0.948054826618537,7,0,0,0,0,0,0,0,0,0,0
"5","cmeans_FuzzySilhouette",0.34224077454328,0.0727697075319721,0.324899112589829,0.44230912956953,0.299116950906079,0.41507220530528,0.471333333333333,0.640880503144654,0.915337758409822,6,0.34224077454328,0.0727697075319721,0.324899112589829,0.44230912956953,0.299116950906079,0.41507220530528,0.471333333333333,0.640880503144654,0.915337758409822,6,0.34224077454328,0.0727697075319721,0.324899112589829,0.44230912956953,0.299116950906079,0.41507220530528,0.471333333333333,0.640880503144654,0.915337758409822,6,0,0,0,0,0,0,0,0,0,0
"6","cmeans_Mass25",0.205184337300727,0.108633488831003,0.322752255774478,0.58167872992401,0.554558644374004,0.562791203624285,0.607,0.795094339622642,0.932297358807208,14.9,0.165290557223238,-0.124402767908311,0.301500925260337,0.213907039438177,0.132249395152281,0.271819137749737,0.168333333333333,0.629559748427673,0.840830236175594,14,0.242414053508238,0.225618902419106,0.333552837715289,0.739295168703654,0.735548322611886,0.68749351757052,0.795,0.866037735849057,0.977661675592022,17,0.0301538308858359,0.152763332288558,0.0136297838256428,0.240763087159029,0.276466300176931,0.190485930998256,0.287174743550566,0.108367827754931,0.0588147725898375,1.37477270848675
"7","cmeans_Mass50",0.214681086929937,-0.0172728408376458,0.312322931911585,0.424062291144367,0.373568966136123,0.43808888967805,0.419,0.724150943396226,0.89808676791305,17,0.183151415295831,-0.158122258401994,0.299973366793558,0.213907039438177,0.132249395152281,0.271819137749737,0.168333333333333,0.629559748427673,0.848532560726061,17,0.307762963425549,0.225618902419106,0.333552837715289,0.739295168703654,0.735548322611886,0.68749351757052,0.795,0.866037735849057,0.97965414742075,17,0.0467359545383849,0.173659745254786,0.0152215523458443,0.257386566723166,0.295554906928879,0.203638025941753,0.307002714428825,0.115850080916538,0.0608635642330162,0
"8","cmeans_Mass100",0.222737333737467,0.129900100108748,0.325213608654944,0.634217542850558,0.614888537119965,0.604358641606363,0.669666666666667,0.81874213836478,0.946193761354596,17,0.183151415295831,-0.158122258401994,0.299973366793558,0.213907039438177,0.132249395152281,0.271819137749737,0.168333333333333,0.629559748427673,0.848532560726061,17,0.307762963425549,0.225618902419106,0.333552837715289,0.739295168703654,0.735548322611886,0.68749351757052,0.795,0.866037735849057,0.97965414742075,17,0.0558177432138576,0.146591183312074,0.0128357892584724,0.210155251706191,0.241319570983842,0.166269751928313,0.250666666666666,0.0945911949685537,0.0492310678842195,0
"9","ecm_CardSil",0.383297806145318,0.104717110770524,0.313997268767685,0.729555432170882,0.72540502541015,0.67515999400851,0.788333333333333,0.863522012578616,0.985534195392063,18,0.383297806145318,0.104717110770524,0.313997268767685,0.729555432170882,0.72540502541015,0.67515999400851,0.788333333333333,0.863522012578616,0.985534195392063,18,0.383297806145318,0.104717110770524,0.313997268767685,0.729555432170882,0.72540502541015,0.67515999400851,0.788333333333333,0.863522012578616,0.985534195392063,18,0,0,0,0,0,0,0,0,0,0
"10","ecm_Silhouette",0.427405121588239,0.155595490570021,0.325459118036175,0.729555432170882,0.72540502541015,0.67515999400851,0.788333333333333,0.863522012578616,0.978864124820404,11,0.427405121588239,0.155595490570021,0.325459118036175,0.729555432170882,0.72540502541015,0.67515999400851,0.788333333333333,0.863522012578616,0.978864124820404,11,0.427405121588239,0.155595490570021,0.325459118036175,0.729555432170882,0.72540502541015,0.67515999400851,0.788333333333333,0.863522012578616,0.978864124820404,11,0,0,0,0,0,0,0,0,0,0
