"x","labels","labels.1","labels.2","labels.3","labels.4","labels.5","labels.6","labels.7","labels"
217,217,217,217,217,217,217,217,217,217
0,0,0,0,0,0,0,0,0,0
195,195,195,195,195,195,195,195,195,195
0,0,0,0,0,0,0,0,0,0
191,191,191,191,191,191,191,191,191,191
198,198,198,198,198,198,198,198,198,198
212,212,212,212,212,212,212,212,212,212
209,209,209,209,209,209,209,209,209,209
0,0,0,0,0,0,0,0,0,0
166,166,166,166,166,166,166,166,166,166
199,199,199,199,199,199,199,199,199,199
202,202,202,202,202,202,202,202,202,202
192,192,192,192,192,192,192,192,192,192
202,202,202,202,202,202,202,202,202,202
217,217,217,217,217,217,217,217,217,217
217,217,217,217,217,217,217,217,217,217
167,167,167,167,167,167,167,167,167,167
200,200,200,200,200,200,200,200,200,200
189,189,189,189,189,189,189,189,189,189
164,164,164,164,164,164,164,164,164,164
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
196,196,196,196,196,196,196,196,196,196
190,190,190,190,190,190,190,190,190,190
208,208,208,208,208,208,208,208,208,208
215,215,215,215,215,215,215,215,215,215
213,213,213,213,213,213,213,213,213,213
163,163,163,163,163,163,163,163,163,163
210,210,210,210,210,210,210,210,210,210
0,0,0,0,0,0,0,0,0,0
167,167,167,167,167,167,167,167,167,167
199,199,199,199,199,199,199,199,199,199
210,210,210,210,210,210,210,210,210,210
0,0,0,0,0,0,0,0,0,0
207,207,207,207,207,207,207,207,207,207
216,216,216,216,216,216,216,216,216,216
205,205,205,205,205,205,205,205,205,205
0,0,0,0,0,0,0,0,0,0
199,199,199,199,199,199,199,199,199,199
0,0,0,0,0,0,0,0,0,0
167,167,167,167,167,167,167,167,167,167
195,195,195,195,195,195,195,195,195,195
212,212,212,212,212,212,212,212,212,212
200,200,200,200,200,200,200,200,200,200
143,143,143,143,143,143,143,143,143,143
217,217,217,217,217,217,217,217,217,217
0,0,0,0,0,0,0,0,0,0
214,214,214,214,214,214,214,214,214,214
201,201,201,201,201,201,201,201,201,201
196,196,196,196,196,196,196,196,196,196
195,195,195,195,195,195,195,195,195,195
201,201,201,201,201,201,201,201,201,201
191,191,191,191,191,191,191,191,191,191
162,162,162,162,162,162,162,162,162,162
199,199,199,199,199,199,199,199,199,199
207,207,207,207,207,207,207,207,207,207
214,214,214,214,214,214,214,214,214,214
167,167,167,167,167,167,167,167,167,167
200,200,200,200,200,200,200,200,200,200
207,207,207,207,207,207,207,207,207,207
0,0,0,0,0,0,0,0,0,0
205,205,205,205,205,205,205,205,205,205
217,217,217,217,217,217,217,217,217,217
213,213,213,213,213,213,213,213,213,213
206,206,206,206,206,206,206,206,206,206
213,213,213,213,213,213,213,213,213,213
193,193,193,193,193,193,193,193,193,193
207,207,207,207,207,207,207,207,207,207
167,167,167,167,167,167,167,167,167,167
190,190,190,190,190,190,190,190,190,190
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
194,194,194,194,194,194,194,194,194,194
214,214,214,214,214,214,214,214,214,214
208,208,208,208,208,208,208,208,208,208
162,162,162,162,162,162,162,162,162,162
165,165,165,165,165,165,165,165,165,165
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
205,205,205,205,205,205,205,205,205,205
216,216,216,216,216,216,216,216,216,216
197,197,197,197,197,197,197,197,197,197
166,166,166,166,166,166,166,166,166,166
212,212,212,212,212,212,212,212,212,212
0,0,0,0,0,0,0,0,0,0
204,204,204,204,204,204,204,204,204,204
202,202,202,202,202,202,202,202,202,202
189,189,189,189,189,189,189,189,189,189
163,163,163,163,163,163,163,163,163,163
203,203,203,203,203,203,203,203,203,203
209,209,209,209,209,209,209,209,209,209
