"x","labels","labels.1","labels.2","labels.3","labels.4","labels.5","labels.6","labels.7","labels"
2,4,5,3,1,2,1,1,5,6
2,4,5,3,1,2,1,1,5,6
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
2,4,5,3,1,2,1,1,5,6
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
2,4,5,3,1,2,1,1,5,6
2,4,5,3,1,2,1,1,5,6
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
2,4,5,3,1,2,1,1,5,6
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
2,4,5,3,1,2,1,1,5,6
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
2,4,5,3,1,2,1,1,5,6
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
2,4,5,3,1,2,1,1,5,6
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
2,4,5,3,1,2,1,1,5,6
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
2,4,5,3,1,2,1,1,5,6
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
2,4,5,3,1,2,1,1,5,6
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
2,4,5,3,1,2,1,1,5,6
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
2,4,5,3,1,2,1,1,5,6
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
2,4,5,3,1,2,1,1,5,6
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
3,2,2,6,4,3,3,3,6,4
2,4,5,3,1,2,1,1,5,6
3,2,2,6,4,3,3,3,6,4
