"x","labels","labels.1","labels.2","labels.3","labels.4","labels.5","labels.6","labels.7","labels"
5,4,1,3,2,3,3,4,5,2
5,4,1,3,2,3,3,4,5,2
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
5,4,1,3,2,3,3,4,5,2
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
5,4,1,3,2,3,3,4,5,2
5,4,1,3,2,3,3,4,5,2
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
5,4,1,3,2,3,3,4,5,2
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
5,4,1,3,2,3,3,4,5,2
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
5,4,1,3,2,3,3,4,5,2
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
5,4,1,3,2,3,3,4,5,2
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
5,4,1,3,2,3,3,4,5,2
5,4,1,3,2,3,3,4,5,2
3,1,5,6,6,2,4,3,6,6
5,4,1,3,2,2,3,4,5,2
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
5,4,1,3,2,2,3,4,5,2
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
3,1,5,6,6,2,4,3,6,6
