"x","labels","labels.1","labels.2","labels.3","labels.4","labels.5","labels.6","labels.7","labels"
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
5,2,5,5,5,2,5,3,6,2
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
2,4,3,2,4,5,6,6,4,4
5,2,5,5,5,2,5,3,6,2
