"","Algorithme","Mean_Sil","Mean_ARI","Mean_Vmes","Mean_FM","Mean_F1","Mean_Precision","Mean_Recall","Mean_Accuracy","Mean_Overlap","Mean_Clusters","Min_Sil","Min_ARI","Min_Vmes","Min_FM","Min_F1","Min_Precision","Min_Recall","Min_Accuracy","Min_Overlap","Min_Clusters","Max_Sil","Max_ARI","Max_Vmes","Max_FM","Max_F1","Max_Precision","Max_Recall","Max_Accuracy","Max_Overlap","Max_Clusters","EC_Sil","EC_ARI","EC_Vmes","EC_FM","EC_F1","EC_Precision","EC_Recall","EC_Accuracy","EC_Overlap","EC_Clusters"
"1","kmeans_CardSil",0.630221927190391,0.569787478460655,0.760187533431869,0.351422787690983,0.331541218637993,0.248987854251012,0.496,0.496,0.833110814419226,3,0.630221927190391,0.569787478460655,0.760187533431869,0.351422787690983,0.331541218637993,0.248987854251012,0.496,0.496,0.833110814419226,3,0.630221927190391,0.569787478460655,0.760187533431869,0.351422787690983,0.331541218637993,0.248987854251012,0.496,0.496,0.833110814419226,3,0,0,0,0,0,0,0,0,0,0
"2","kmeans_Silhouette",0.365494882942099,0.371954510021112,0.484221251125252,0.7689058997455,0.755753151819504,0.729296401311806,0.810666666666667,0.810666666666667,0.943554962171785,70.3,0.363518728786172,0.370147159862114,0.483938420952962,0.7689058997455,0.755753151819504,0.729296401311806,0.810666666666667,0.810666666666667,0.943554962171785,64,0.36771288700348,0.373963277995103,0.484685330009195,0.7689058997455,0.755753151819504,0.729296401311806,0.810666666666667,0.810666666666667,0.943554962171785,75,0.00114398067434506,0.000902577534169969,0.000177855625495997,0,0,0,0,0,0,2.96816441593123
"3","cmeans_CardSil",0.630221927190391,0.569787478460655,0.760187533431869,0.351422787690983,0.331541218637993,0.248987854251012,0.496,0.496,0.833110814419226,3,0.630221927190391,0.569787478460655,0.760187533431869,0.351422787690983,0.331541218637993,0.248987854251012,0.496,0.496,0.833110814419226,3,0.630221927190391,0.569787478460655,0.760187533431869,0.351422787690983,0.331541218637993,0.248987854251012,0.496,0.496,0.833110814419226,3,0,0,0,0,0,0,0,0,0,0
"4","cmeans_Silhouette",0.362861759020174,0.370862471118578,0.482402606209991,0.769978864905491,0.757090442026986,0.730132330543286,0.812,0.812,0.943562082777036,67.8,0.356737642135784,0.370020690286973,0.482333704316464,0.769978864905491,0.757090442026986,0.730132330543286,0.812,0.812,0.943562082777036,64,0.364391138180599,0.372430670706951,0.482471508103518,0.769978864905491,0.757090442026986,0.730132330543286,0.812,0.812,0.943562082777036,70,0.00271505704640075,0.000786855057355621,6.89018938193992e-05,0,0,0,0,0,0,2.08806130178225
"5","cmeans_FuzzySilhouette",0.358368643014198,0.373038371939823,0.48254071748285,0.769978864905491,0.757090442026986,0.730132330543286,0.812,0.812,0.943562082777036,65.5,0.354115160273281,0.372124620581163,0.482471508103518,0.769978864905491,0.757090442026986,0.730132330543286,0.812,0.812,0.943562082777036,65,0.359531831298371,0.373348291845074,0.482661454051066,0.769978864905491,0.757090442026986,0.730132330543286,0.812,0.812,0.943562082777036,68,0.00191675446423619,0.000346687496543832,6.36431837092489e-05,0,0,0,0,0,0,0.921954445729486
"6","cmeans_Mass25",0.41692326650866,0.555812649924074,0.543216292825608,0.675534096242601,0.657501835001856,0.639737825027534,0.713333333333333,0.713333333333333,0.913616377392078,9,0.41692326650866,0.555812649924074,0.543216292825608,0.675534096242601,0.657501835001856,0.639737825027534,0.713333333333333,0.713333333333333,0.913616377392078,9,0.41692326650866,0.555812649924074,0.543216292825608,0.675534096242601,0.657501835001856,0.639737825027534,0.713333333333333,0.713333333333333,0.913616377392078,9,0,0,0,0,0,0,0,0,0,0
"7","cmeans_Mass50",0.4123806857814,0.526423558673711,0.523713560486539,0.706132209986261,0.693052090138756,0.666607885000108,0.748,0.748,0.925304138851802,14,0.402722913360979,0.518593299469015,0.521762957464534,0.706132209986261,0.693052090138756,0.666607885000108,0.748,0.748,0.925116154873164,12,0.430587588821499,0.531440596941572,0.524873741228063,0.706132209986261,0.693052090138756,0.666607885000108,0.748,0.748,0.925472185135737,15,0.0105382488110079,0.00451692359523985,0.000895660468350691,0,0,0,0,0,0.00013978711171681,1.18321595661993
"8","cmeans_Mass100",0.338810409216325,0.402711028858049,0.485074843841685,0.764459771871976,0.751847899120575,0.724461251418042,0.806666666666667,0.806666666666667,0.943216733422341,45.6,0.325957066579608,0.394601537543494,0.483992563096238,0.764459771871976,0.751847899120575,0.724461251418042,0.806666666666667,0.806666666666667,0.943038718291055,41,0.353116023707094,0.407435491717801,0.485821079001522,0.764459771871976,0.751847899120575,0.724461251418042,0.806666666666667,0.806666666666667,0.943373386737873,49,0.00889476023002429,0.00407832934699208,0.000607241391150456,0,0,0,0,0,9.92935144425548e-05,2.45764114548889
"9","ecm_CardSil",0.304019613599412,0.490675151034034,0.586784425328979,0.638004643914968,0.552094849206374,0.619303020701277,0.657333333333333,0.657333333333333,0.889851713395639,30.6,0.253086826933865,0.486730157506429,0.585138630820246,0.633269296268353,0.549477981945286,0.612571285533934,0.654666666666667,0.654666666666667,0.889815754339119,27,0.327131062387455,0.491875043152848,0.587729116693369,0.664505299516152,0.559583908987705,0.663678296220016,0.665333333333333,0.665333333333333,0.890036493101914,42,0.019304696177126,0.00138758422647333,0.000634288439924246,0.00907464159291421,0.00324537841847033,0.0149382836758247,0.00337309617084448,0.00337309617084448,6.43312303908399e-05,3.97994974842647
"10","ecm_Silhouette",0.327381556819242,0.378029787146698,0.483648172229082,0.760089518989841,0.747234466771824,0.720249458304744,0.802133333333333,0.802133333333333,0.943647174009791,52,0.315866774549184,0.371718127345615,0.482833280603915,0.753987348598424,0.741100989323146,0.714192112872465,0.796,0.796,0.943562082777036,46,0.34690517890369,0.382299169337922,0.484461514636619,0.76464645445586,0.751758777797131,0.724815124353618,0.806666666666667,0.806666666666667,0.943772140631954,61,0.0101264965507919,0.0032751177622369,0.000530877652309912,0.00280456137741796,0.00280876774870253,0.00279294653972267,0.00280950766741905,0.00280950766741905,5.21666360501674e-05,4.44971909225742
