"","Algorithme","Mean_Sil","Mean_ARI","Mean_Vmes","Mean_FM","Mean_F1","Mean_Precision","Mean_Recall","Mean_Accuracy","Mean_Overlap","Mean_Clusters","Min_Sil","Min_ARI","Min_Vmes","Min_FM","Min_F1","Min_Precision","Min_Recall","Min_Accuracy","Min_Overlap","Min_Clusters","Max_Sil","Max_ARI","Max_Vmes","Max_FM","Max_F1","Max_Precision","Max_Recall","Max_Accuracy","Max_Overlap","Max_Clusters","EC_Sil","EC_ARI","EC_Vmes","EC_FM","EC_F1","EC_Precision","EC_Recall","EC_Accuracy","EC_Overlap","EC_Clusters"
"1","kmeans_CardSil",0.630221927190391,0.569787478460655,0.760187533431869,0.351422787690983,0.331541218637993,0.248987854251012,0.496,0.496,0.833110814419226,3,0.630221927190391,0.569787478460655,0.760187533431869,0.351422787690983,0.331541218637993,0.248987854251012,0.496,0.496,0.833110814419226,3,0.630221927190391,0.569787478460655,0.760187533431869,0.351422787690983,0.331541218637993,0.248987854251012,0.496,0.496,0.833110814419226,3,0,0,0,0,0,0,0,0,0,0
"2","kmeans_Silhouette",0.394888826217448,0.466518750064571,0.49725213296697,0.751048153881125,0.737111285985296,0.712093932734858,0.792133333333333,0.792133333333333,0.942004806408545,17,0.393867139248089,0.454938245412067,0.495305693093326,0.741122958632143,0.726182913482985,0.70298196221629,0.781333333333333,0.781333333333333,0.941543391188251,17,0.404084008941672,0.467805472803738,0.497468404064041,0.752150953353234,0.738325549596664,0.713106373903588,0.793333333333333,0.793333333333333,0.942056074766355,17,0.00306506090807514,0.00386016821750071,0.0006488132912332,0.00330839841631447,0.00364279083413147,0.00303732350620077,0.00359999999999317,0.00359999999999317,0.000153805073397577,0
"3","cmeans_CardSil",0.630221927190391,0.569787478460655,0.760187533431869,0.351422787690983,0.331541218637993,0.248987854251012,0.496,0.496,0.833110814419226,3,0.630221927190391,0.569787478460655,0.760187533431869,0.351422787690983,0.331541218637993,0.248987854251012,0.496,0.496,0.833110814419226,3,0.630221927190391,0.569787478460655,0.760187533431869,0.351422787690983,0.331541218637993,0.248987854251012,0.496,0.496,0.833110814419226,3,0,0,0,0,0,0,0,0,0,0
"4","cmeans_Silhouette",0.407363580944193,0.459680061242731,0.497060687402334,0.763571312675193,0.750385752731406,0.723974937343358,0.805333333333333,0.805333333333333,0.942447708055185,17,0.407363580944193,0.459680061242731,0.497060687402334,0.763571312675193,0.750385752731406,0.723974937343358,0.805333333333333,0.805333333333333,0.942447708055185,17,0.407363580944193,0.459680061242731,0.497060687402334,0.763571312675193,0.750385752731406,0.723974937343358,0.805333333333333,0.805333333333333,0.942447708055185,17,0,0,0,0,0,0,0,0,0,0
"5","cmeans_FuzzySilhouette",0.348546095650816,0.321594726779578,0.445184352138509,0.925004742640414,0.917292181417181,0.931386546343169,0.918666666666667,0.918666666666667,0.994574098798398,24,0.348546095650816,0.321594726779578,0.445184352138509,0.925004742640414,0.917292181417181,0.931386546343169,0.918666666666667,0.918666666666667,0.994574098798398,24,0.348546095650816,0.321594726779578,0.445184352138509,0.925004742640414,0.917292181417181,0.931386546343169,0.918666666666667,0.918666666666667,0.994574098798398,24,0,0,0,0,0,0,0,0,0,0
"6","cmeans_Mass25",0.464756563877325,0.553209134127278,0.602203905168622,0.524225501724916,0.498340148789713,0.451420297920344,0.6088,0.6088,0.879369114374722,7,0.451456661820289,0.552122895972525,0.60004663530059,0.519242109864852,0.498333797436811,0.443441395817274,0.608,0.608,0.878348019581664,7,0.473623165248682,0.553933292897113,0.605439809970672,0.527547762964959,0.498349675819065,0.456739565989058,0.609333333333333,0.609333333333333,0.88004984423676,7,0.0108593245562431,0.000886909739472986,0.00264210520706885,0.004068922415167,7.77878972444619e-06,0.00651474628671477,0.000653197264740241,0.000653197264740241,0.000833720407307938,0
"7","cmeans_Mass50",0.460323263191646,0.55284705474236,0.603282540102639,0.522564371104895,0.498343324466164,0.448760663885988,0.608533333333333,0.608533333333333,0.879028749443703,7,0.451456661820289,0.552122895972525,0.60004663530059,0.519242109864852,0.498333797436811,0.443441395817274,0.608,0.608,0.878348019581664,7,0.473623165248682,0.553933292897113,0.605439809970672,0.527547762964959,0.498349675819065,0.456739565989058,0.609333333333333,0.609333333333333,0.88004984423676,7,0.0108593245562419,0.000886909739410397,0.00264210520707935,0.00406892241516018,7.7787861563356e-06,0.00651474628671264,0.000653197264782733,0.000653197264782733,0.000833720407307938,0
"8","cmeans_Mass100",0.371764725492076,0.485264756746579,0.510662873330693,0.692385936556493,0.671164088696604,0.659000648957582,0.727466666666667,0.727466666666667,0.930341967067201,13,0.36139327172179,0.479142161635128,0.51046214945215,0.681390106479727,0.661129373055961,0.647247877149332,0.717333333333333,0.717333333333333,0.928530485091233,13,0.3786790280056,0.494448649413757,0.510963959148508,0.708879681671642,0.686216162157567,0.676629806669958,0.742666666666667,0.742666666666667,0.933059190031153,13,0.00846825654268903,0.00749861696235752,0.000245835540719046,0.0134670864932143,0.0122899665167503,0.0143941469967924,0.0124107480301004,0.0124107480301004,0.00221860325969246,0
"9","ecm_CardSil",0.630221927190391,0.569787478460655,0.760187533431869,0.351422787690983,0.331541218637993,0.248987854251012,0.496,0.496,0.833110814419226,3,0.630221927190391,0.569787478460655,0.760187533431869,0.351422787690983,0.331541218637993,0.248987854251012,0.496,0.496,0.833110814419226,3,0.630221927190391,0.569787478460655,0.760187533431869,0.351422787690983,0.331541218637993,0.248987854251012,0.496,0.496,0.833110814419226,3,0,0,0,0,0,0,0,0,0,0
"10","ecm_Silhouette",0.400165913997306,0.454866859609036,0.495567171300976,0.75430955220934,0.741048461160216,0.714802638887255,0.796,0.796,0.942041833555852,17,0.400165913997306,0.454866859609036,0.495567171300976,0.75430955220934,0.741048461160216,0.714802638887255,0.796,0.796,0.942041833555852,17,0.400165913997306,0.454866859609036,0.495567171300976,0.75430955220934,0.741048461160216,0.714802638887255,0.796,0.796,0.942041833555852,17,0,0,0,0,0,0,0,0,0,0
"11","ecm_FuzzySilhouette",0.340782401875163,0.31503729704716,0.444092520729586,0.915751143094366,0.907943202067181,0.922214247887066,0.909333333333333,0.909333333333333,0.994168224299065,24,0.340782401875163,0.31503729704716,0.444092520729586,0.915751143094366,0.907943202067181,0.922214247887066,0.909333333333333,0.909333333333333,0.994168224299065,24,0.340782401875163,0.31503729704716,0.444092520729586,0.915751143094366,0.907943202067181,0.922214247887066,0.909333333333333,0.909333333333333,0.994168224299065,24,0,0,0,0,0,0,0,0,0,0
"12","ecm_Mass25",0.458106612848807,0.552666015049902,0.603821857569647,0.521733805794884,0.498344912304389,0.447430846868809,0.6084,0.6084,0.878858566978193,7,0.451456661820289,0.552122895972525,0.60004663530059,0.519242109864852,0.498333797436811,0.443441395817274,0.608,0.608,0.878348019581664,7,0.473623165248682,0.553933292897113,0.605439809970672,0.527547762964959,0.498349675819065,0.456739565989058,0.609333333333333,0.609333333333333,0.88004984423676,7,0.010157967985311,0.00082962809445412,0.00247146311617699,0.00380612840272354,7.27638936251925e-06,0.00609398714165911,0.000611010092727103,0.000611010092727103,0.000779874030215956,0
"13","ecm_Mass50",0.464756563877325,0.553209134127278,0.602203905168622,0.524225501724916,0.498340148789713,0.451420297920344,0.6088,0.6088,0.879369114374722,7,0.451456661820289,0.552122895972525,0.60004663530059,0.519242109864852,0.498333797436811,0.443441395817274,0.608,0.608,0.878348019581664,7,0.473623165248682,0.553933292897113,0.605439809970672,0.527547762964959,0.498349675819065,0.456739565989058,0.609333333333333,0.609333333333333,0.88004984423676,7,0.0108593245562431,0.000886909739472986,0.00264210520706885,0.004068922415167,7.77878972444619e-06,0.00651474628671477,0.000653197264740241,0.000653197264740241,0.000833720407307938,0
"14","ecm_Mass100",0.458106612848807,0.552666015049902,0.603821857569647,0.521733805794884,0.498344912304389,0.447430846868809,0.6084,0.6084,0.878858566978193,7,0.451456661820289,0.552122895972525,0.60004663530059,0.519242109864852,0.498333797436811,0.443441395817274,0.608,0.608,0.878348019581664,7,0.473623165248682,0.553933292897113,0.605439809970672,0.527547762964959,0.498349675819065,0.456739565989058,0.609333333333333,0.609333333333333,0.88004984423676,7,0.010157967985311,0.00082962809445412,0.00247146311617699,0.00380612840272354,7.27638936251925e-06,0.00609398714165911,0.000611010092727103,0.000611010092727103,0.000779874030215956,0
"15","hclust",0.454299071765182,0.659292833761325,0.543009368416258,0.832140435535049,0.826931147006314,0.836301575425678,0.828,0.828,0.950429906542056,6,0.454299071765182,0.659292833761325,0.543009368416258,0.832140435535049,0.826931147006314,0.836301575425678,0.828,0.828,0.950429906542056,6,0.454299071765182,0.659292833761325,0.543009368416258,0.832140435535049,0.826931147006314,0.836301575425678,0.828,0.828,0.950429906542056,6,0,0,0,0,0,0,0,0,0,0
"16","hdbscanafter",0.321681736466893,0.546031632680883,0.483299200128129,0.81510493048241,0.795875189087705,0.84029854261813,0.790666666666667,0.790666666666667,0.968341789052069,9,0.321681736466893,0.546031632680883,0.483299200128129,0.81510493048241,0.795875189087705,0.84029854261813,0.790666666666667,0.790666666666667,0.968341789052069,9,0.321681736466893,0.546031632680883,0.483299200128129,0.81510493048241,0.795875189087705,0.84029854261813,0.790666666666667,0.790666666666667,0.968341789052069,9,0,0,0,0,0,0,0,0,0,0
"17","hdbscanbefore",0.378868233850088,0.576428303549508,0.533995922219219,0.662692952084867,0.646335380046645,0.628571491521405,0.698666666666667,0.698666666666667,0.925589675122385,7,0.378868233850088,0.576428303549508,0.533995922219219,0.662692952084867,0.646335380046645,0.628571491521405,0.698666666666667,0.698666666666667,0.925589675122385,7,0.378868233850088,0.576428303549508,0.533995922219219,0.662692952084867,0.646335380046645,0.628571491521405,0.698666666666667,0.698666666666667,0.925589675122385,7,0,0,0,0,0,0,0,0,0,0
