"","Algorithme","Mean_Sil","Mean_ARI","Mean_Vmes","Mean_FM","Mean_F1","Mean_Precision","Mean_Recall","Mean_Accuracy","Mean_Overlap","Mean_Clusters","Min_Sil","Min_ARI","Min_Vmes","Min_FM","Min_F1","Min_Precision","Min_Recall","Min_Accuracy","Min_Overlap","Min_Clusters","Max_Sil","Max_ARI","Max_Vmes","Max_FM","Max_F1","Max_Precision","Max_Recall","Max_Accuracy","Max_Overlap","Max_Clusters","EC_Sil","EC_ARI","EC_Vmes","EC_FM","EC_F1","EC_Precision","EC_Recall","EC_Accuracy","EC_Overlap","EC_Clusters"
"1","kmeans_CardSil",0.411974474972635,0.387147465130247,0.667674471998226,0.996011355264787,0.995962838659468,0.995726495726496,0.996296296296296,0.99749373433584,0.999521416606844,18,0.411974474972635,0.387147465130247,0.667674471998226,0.996011355264787,0.995962838659468,0.995726495726496,0.996296296296296,0.99749373433584,0.999521416606844,18,0.411974474972635,0.387147465130247,0.667674471998226,0.996011355264787,0.995962838659468,0.995726495726496,0.996296296296296,0.99749373433584,0.999521416606844,18,0,0,0,0,0,0,0,0,0,0
"2","kmeans_Silhouette",0.40291954182483,0.493495380487335,0.693526697229505,0.684779614953345,0.589240689091729,0.699885255306942,0.67,0.781954887218045,0.920529968136421,6,0.40291954182483,0.493495380487335,0.693526697229505,0.684779614953345,0.589240689091729,0.699885255306942,0.67,0.781954887218045,0.920529968136421,6,0.40291954182483,0.493495380487335,0.693526697229505,0.684779614953345,0.589240689091729,0.699885255306942,0.67,0.781954887218045,0.920529968136421,6,0,0,0,0,0,0,0,0,0,0
"3","cmeans_CardSil",0.411974474972635,0.387147465130247,0.667674471998226,0.996011355264787,0.995962838659468,0.995726495726496,0.996296296296296,0.99749373433584,0.999521416606844,18,0.411974474972635,0.387147465130247,0.667674471998226,0.996011355264787,0.995962838659468,0.995726495726496,0.996296296296296,0.99749373433584,0.999521416606844,18,0.411974474972635,0.387147465130247,0.667674471998226,0.996011355264787,0.995962838659468,0.995726495726496,0.996296296296296,0.99749373433584,0.999521416606844,18,0,0,0,0,0,0,0,0,0,0
"4","cmeans_Silhouette",0.40291954182483,0.493495380487335,0.693526697229505,0.684779614953345,0.589240689091729,0.699885255306942,0.67,0.781954887218045,0.920529968136421,6,0.40291954182483,0.493495380487335,0.693526697229505,0.684779614953345,0.589240689091729,0.699885255306942,0.67,0.781954887218045,0.920529968136421,6,0.40291954182483,0.493495380487335,0.693526697229505,0.684779614953345,0.589240689091729,0.699885255306942,0.67,0.781954887218045,0.920529968136421,6,0,0,0,0,0,0,0,0,0,0
"5","cmeans_FuzzySilhouette",0.326252257531976,0.25534499075486,0.602545023103339,0.996011355264787,0.995962838659468,0.995726495726496,0.996296296296296,0.99749373433584,0.999911839901261,28,0.326252257531976,0.25534499075486,0.602545023103339,0.996011355264787,0.995962838659468,0.995726495726496,0.996296296296296,0.99749373433584,0.999911839901261,28,0.326252257531976,0.25534499075486,0.602545023103339,0.996011355264787,0.995962838659468,0.995726495726496,0.996296296296296,0.99749373433584,0.999911839901261,28,0,0,0,0,0,0,0,0,0,0
"6","cmeans_Mass25",0.235047939455297,0.850948499790786,0.90196453284066,0.883831653899648,0.800782048174461,0.937806873977087,0.832962962962963,0.87468671679198,0.941587637435297,6,0.235047939455297,0.850948499790786,0.90196453284066,0.883831653899648,0.800782048174461,0.937806873977087,0.832962962962963,0.87468671679198,0.941587637435297,6,0.235047939455297,0.850948499790786,0.90196453284066,0.883831653899648,0.800782048174461,0.937806873977087,0.832962962962963,0.87468671679198,0.941587637435297,6,0,0,0,0,0,0,0,0,0,0
"7","cmeans_Mass50",0.235047939455297,0.850948499790786,0.90196453284066,0.883831653899648,0.800782048174461,0.937806873977087,0.832962962962963,0.87468671679198,0.941587637435297,6,0.235047939455297,0.850948499790786,0.90196453284066,0.883831653899648,0.800782048174461,0.937806873977087,0.832962962962963,0.87468671679198,0.941587637435297,6,0.235047939455297,0.850948499790786,0.90196453284066,0.883831653899648,0.800782048174461,0.937806873977087,0.832962962962963,0.87468671679198,0.941587637435297,6,0,0,0,0,0,0,0,0,0,0
"8","cmeans_Mass100",0.235047939455297,0.850948499790786,0.90196453284066,0.883831653899648,0.800782048174461,0.937806873977087,0.832962962962963,0.87468671679198,0.941587637435297,6,0.235047939455297,0.850948499790786,0.90196453284066,0.883831653899648,0.800782048174461,0.937806873977087,0.832962962962963,0.87468671679198,0.941587637435297,6,0.235047939455297,0.850948499790786,0.90196453284066,0.883831653899648,0.800782048174461,0.937806873977087,0.832962962962963,0.87468671679198,0.941587637435297,6,0,0,0,0,0,0,0,0,0,0
"9","ecm_CardSil",0.411181711295773,0.387031487861583,0.664833955783546,0.996011355264787,0.995962838659468,0.995726495726496,0.996296296296296,0.99749373433584,0.999521416606844,18,0.411181711295773,0.387031487861583,0.664833955783546,0.996011355264787,0.995962838659468,0.995726495726496,0.996296296296296,0.99749373433584,0.999521416606844,18,0.411181711295773,0.387031487861583,0.664833955783546,0.996011355264787,0.995962838659468,0.995726495726496,0.996296296296296,0.99749373433584,0.999521416606844,18,0,0,0,0,0,0,0,0,0,0
"10","ecm_Silhouette",0.40291954182483,0.493495380487335,0.693526697229505,0.684779614953345,0.589240689091729,0.699885255306942,0.67,0.781954887218045,0.920529968136421,6,0.40291954182483,0.493495380487335,0.693526697229505,0.684779614953345,0.589240689091729,0.699885255306942,0.67,0.781954887218045,0.920529968136421,6,0.40291954182483,0.493495380487335,0.693526697229505,0.684779614953345,0.589240689091729,0.699885255306942,0.67,0.781954887218045,0.920529968136421,6,0,0,0,0,0,0,0,0,0,0
