"","Algorithme","Mean_Sil","Mean_ARI","Mean_Vmes","Mean_FM","Mean_F1","Mean_Precision","Mean_Recall","Mean_Accuracy","Mean_Overlap","Mean_Clusters","Min_Sil","Min_ARI","Min_Vmes","Min_FM","Min_F1","Min_Precision","Min_Recall","Min_Accuracy","Min_Overlap","Min_Clusters","Max_Sil","Max_ARI","Max_Vmes","Max_FM","Max_F1","Max_Precision","Max_Recall","Max_Accuracy","Max_Overlap","Max_Clusters","EC_Sil","EC_ARI","EC_Vmes","EC_FM","EC_F1","EC_Precision","EC_Recall","EC_Accuracy","EC_Overlap","EC_Clusters"
"1","kmeans_CardSil",0.288129966206343,0.0657853103068572,0.563754705785376,0.599088094385489,0.581717458153606,0.687265300949459,0.522243532560214,0.9257,0.960039239239239,13,0.282728334832215,0.0653921260607526,0.562534411023622,0.59640688718995,0.579966120158044,0.679720464135021,0.517291109128754,0.925,0.959991991991992,12,0.296259184624232,0.0659651692594947,0.564795191313168,0.600340515719856,0.583150463914761,0.695884031846177,0.523587570621469,0.926,0.960066066066066,14,0.00562650263151026,0.000217987315661297,0.00104565159292766,0.00176057688743071,0.00144474356963045,0.00570231846738832,0.00247923105755068,0.000458257569435548,2.93031798998753e-05,1
"2","kmeans_Silhouette",0.449606424150647,0.0568763525514814,0.595775209782603,0.430328034669121,0.416192526526219,0.476875642343268,0.388323917137476,0.908,0.947351351351351,4,0.449606424150647,0.0568763525514814,0.595775209782603,0.430328034669121,0.416192526526219,0.476875642343268,0.388323917137476,0.908,0.947351351351351,4,0.449606424150647,0.0568763525514814,0.595775209782603,0.430328034669121,0.416192526526219,0.476875642343268,0.388323917137476,0.908,0.947351351351351,4,0,0,0,0,0,0,0,0,0,0
"3","cmeans_CardSil",0.258181945379666,0.0262695891778566,0.504658613112614,0.600551659493391,0.582938759850248,0.687857309779697,0.524716275151155,0.9259,0.972110710710711,18.2,0.221653219647915,0.0192209930119813,0.486760304640018,0.594715341780212,0.565383882628253,0.674725487515947,0.494610466845079,0.924,0.970848848848849,11,0.287940686607479,0.0425187820114557,0.520654800842735,0.604295694089067,0.592101666139104,0.716779867641937,0.540712657349589,0.927,0.973233233233233,27,0.0201479655966968,0.00820165521916927,0.0102130064475544,0.00394179396190851,0.010290456684612,0.0151980783711576,0.017161973215488,0.00122065556159319,0.000747203927495449,4.6
"4","cmeans_Silhouette",0.422033605835431,0.0417902330877467,0.58311966013105,0.352093313541948,0.343445590304679,0.374590781594527,0.332655367231638,0.8976,0.949428028028028,4,0.385804775817693,0.0142179338392733,0.554631640095868,0.234741231851188,0.23432518597237,0.221163490471414,0.249152542372881,0.882,0.948478478478478,4,0.446130311739291,0.0601070343252164,0.601459326196711,0.430328034669121,0.416192526526219,0.476875642343268,0.388323917137476,0.908,0.950860860860861,4,0.0293729606452693,0.0223367986245756,0.0224642536977399,0.0958175734652562,0.0890964370467814,0.125272858623024,0.0681797709949818,0.0127373466624717,0.00115496675378222,0
"5","cmeans_FuzzySilhouette",0.440063344298548,0.0554994589568125,0.596907027044852,0.410769354387328,0.398005792470834,0.451304427156083,0.374406779661017,0.9054,0.948720720720721,4,0.386144387384504,0.014505455222859,0.555936334678121,0.234741231851188,0.23432518597237,0.221163490471414,0.249152542372881,0.882,0.948478478478478,4,0.446130311739291,0.0601070343252164,0.601459326196711,0.430328034669121,0.416192526526219,0.476875642343268,0.388323917137476,0.908,0.950860860860861,4,0.0179731662763173,0.0136647821762984,0.0136568974555757,0.0586760408453797,0.0545602021661549,0.0767136455615564,0.0417514124293785,0.00780000000000397,0.000713395653049638,0
"6","cmeans_Mass25",0.31757646832598,0.0298971836622074,0.466985197088917,0.817938949119332,0.791796126999493,0.882131070249882,0.758418048121717,0.946,0.993731331331331,20.4,0.276456014482258,0.0177117822003268,0.446797286048229,0.817938949119332,0.791796126999493,0.882131070249882,0.758418048121717,0.946,0.993213213213213,16,0.352719714208775,0.0382163026049251,0.484443928526283,0.817938949119332,0.791796126999493,0.882131070249882,0.758418048121717,0.946,0.995487487487487,31,0.0221939972681059,0.0068855629875659,0.0119307918349285,0,0,0,0,0,0.0006066811320556,3.85227205685165
"7","cmeans_Mass50",0.222741364727916,0.0355785962889844,0.491420476288599,0.716017964893458,0.696666041933793,0.778319707047907,0.659382867479433,0.939,0.981618618618619,24.6,0.171947508246119,0.0118357051747223,0.465963896360833,0.598416827612923,0.579643767500848,0.689912280701754,0.519055406878779,0.925,0.972442442442442,21,0.25788242048868,0.070640736355845,0.519331131428138,0.830217756586256,0.807690093790093,0.907125396731524,0.759830477500248,0.951,0.985323323323323,30,0.0278637757150998,0.0252881553265979,0.0187616476670659,0.0959701622012587,0.0936612036038189,0.105178584590091,0.0913295873835696,0.0103344085462092,0.00467709781945588,2.97321374946369
"8","cmeans_Mass100",0.254858909488074,0.0159508393977121,0.437728078609498,0.819636923400662,0.803137826162371,0.88288279391193,0.760967854841907,0.9516,0.995163763763764,50.6,0.144044921959604,-0.00511445809127493,0.419232884799555,0.644601177765981,0.623161766846504,0.689833551461458,0.602334690008921,0.927,0.983167167167167,37,0.291607101297976,0.0435389427434002,0.464747724065629,0.841343059538289,0.827155670376193,0.911682852965748,0.792598839082169,0.955,0.99788988988989,66,0.0397810454725763,0.0114051783632641,0.0125201207585706,0.0583910252610678,0.0601431778871704,0.0647786531920229,0.0532135014537449,0.00824863625091663,0.00413233310825694,8.89044430835714
"9","ecm_CardSil",0.213128824952073,0.0232958172324345,0.470707907634495,0.655726301547051,0.651781190392586,0.672240161728809,0.640022131157697,0.9349,0.987411811811812,23.9,0.177439790683032,0.0230464507728654,0.468848775501098,0.609997948043408,0.595303992740472,0.670726837060703,0.554767568639112,0.928,0.980158158158158,22,0.219801040979655,0.0233500795642337,0.477012558431058,0.662495120625631,0.659810465304769,0.681000712250712,0.65377236346516,0.936,0.9883003003003,25,0.0132564188651951,8.84899720676151e-05,0.00214266729733429,0.0159014183203991,0.0194051513111476,0.00292579360719916,0.0306485239362454,0.00246779253584223,0.00241804364378005,0.700000000000088
"10","ecm_Silhouette",0.431632890034711,0.0923772985119323,0.587316917658565,0.427862937425577,0.425702827138937,0.435181969756778,0.420847457627119,0.9074,0.9535003003003,4,0.425028825334419,0.0811266488400266,0.586120297842481,0.412552014449752,0.41235112193196,0.402116824990866,0.420244821092279,0.901,0.952890890890891,4,0.433283906209784,0.0951899609299087,0.592103396922899,0.431690668169533,0.429040753440681,0.443448255948256,0.423258003766478,0.909,0.955937937937938,4,0.00330203235014862,0.00562532483595262,0.00239323963215593,0.00765546148791427,0.00667585260349012,0.0165325723829565,0.00120527306968325,0.00320000000000785,0.00121881881882247,0
"11","ecm_FuzzySilhouette",0.431632890034711,0.0923772985119323,0.587316917658565,0.427862937425577,0.425702827138937,0.435181969756778,0.420847457627119,0.9074,0.9535003003003,4,0.425028825334419,0.0811266488400266,0.586120297842481,0.412552014449752,0.41235112193196,0.402116824990866,0.420244821092279,0.901,0.952890890890891,4,0.433283906209784,0.0951899609299087,0.592103396922899,0.431690668169533,0.429040753440681,0.443448255948256,0.423258003766478,0.909,0.955937937937938,4,0.00330203235014862,0.00562532483595262,0.00239323963215593,0.00765546148791427,0.00667585260349012,0.0165325723829565,0.00120527306968325,0.00320000000000785,0.00121881881882247,0
"12","ecm_Mass25",0.239039619510263,0.0658392297445027,0.522415198324422,0.58485590016344,0.572282502396306,0.636749040252169,0.539093242021013,0.9228,0.973702302302302,15.4,0.124676962243257,0.0125120622434743,0.480680968565551,0.431690668169533,0.429040753440681,0.443448255948256,0.420244821092279,0.909,0.960006006006006,12,0.301598389749811,0.103635555124233,0.561646586817032,0.666984562185025,0.664014049586189,0.715580965580966,0.66158486346516,0.937,0.983865865865866,20,0.0505637240815848,0.0379468598513149,0.0246466713985501,0.0559600054073465,0.056028750556434,0.0702786172551349,0.0621451715282166,0.00677938050267217,0.00743365919036126,2.76405499221705
"13","ecm_Mass50",0.212867271119903,0.0612919593823044,0.500200924284225,0.662733929812033,0.651022299788286,0.701043818038897,0.628529571191397,0.9325,0.981256056056056,24.6,0.109648361573309,0.00806772895547151,0.452296485799195,0.596865473751575,0.579045408441913,0.607004729204457,0.526531370799881,0.925,0.970990990990991,19,0.275669486499515,0.0985445968717264,0.545914747672601,0.833522028723679,0.818690418466571,0.891355499615411,0.779440944345327,0.953,0.992600600600601,31,0.0551134165098792,0.0383822524249698,0.0310995818774587,0.0864659188298334,0.0851113804334046,0.0923127889923727,0.0941823591587507,0.00952102935611323,0.00710845797480138,3.77359245282263
"14","ecm_Mass100",0.238387038422934,0.0311473810249397,0.467823032405326,0.736177746188919,0.723749944309944,0.780121474667644,0.695177870081277,0.9422,0.987398998998999,35.4,0.103339628355772,0.00306737443844346,0.442491332279218,0.442061671524916,0.435489371376606,0.469960302898889,0.415819209039548,0.912,0.966446446446446,23,0.315150568446774,0.0986251108937013,0.515126298912283,0.841295902822144,0.827597227173339,0.916711082397911,0.795825125136287,0.955,0.997003003003003,45,0.0556333225681405,0.0322753587904002,0.0264136439387533,0.127512479764065,0.124529428960526,0.135632985053545,0.122151237042281,0.0134000000000029,0.0101606162829042,6.60605782596551
