"","Algorithme","Mean_Sil","Mean_ARI","Mean_Vmes","Mean_FM","Mean_F1","Mean_Precision","Mean_Recall","Mean_Accuracy","Mean_Overlap","Mean_Clusters","Min_Sil","Min_ARI","Min_Vmes","Min_FM","Min_F1","Min_Precision","Min_Recall","Min_Accuracy","Min_Overlap","Min_Clusters","Max_Sil","Max_ARI","Max_Vmes","Max_FM","Max_F1","Max_Precision","Max_Recall","Max_Accuracy","Max_Overlap","Max_Clusters","EC_Sil","EC_ARI","EC_Vmes","EC_FM","EC_F1","EC_Precision","EC_Recall","EC_Accuracy","EC_Overlap","EC_Clusters"
"1","kmeans_CardSil",0.288820574717802,0.0240249183958391,0.49331814174298,0.576431780384374,0.559019426456984,0.656938584153774,0.505790960451977,0.919,0.973223223223223,13,0.288820574717802,0.0240249183958391,0.49331814174298,0.576431780384374,0.559019426456984,0.656938584153774,0.505790960451977,0.919,0.973223223223223,13,0.288820574717802,0.0240249183958391,0.49331814174298,0.576431780384374,0.559019426456984,0.656938584153774,0.505790960451977,0.919,0.973223223223223,13,0,0,0,0,0,0,0,0,0,0
"2","kmeans_Silhouette",0.360553442577422,0.0335969150700013,0.542962422546984,0.427134345782963,0.411406319433075,0.476642710472279,0.382768361581921,0.907,0.95575975975976,6,0.360553442577422,0.0335969150700013,0.542962422546984,0.427134345782963,0.411406319433075,0.476642710472279,0.382768361581921,0.907,0.95575975975976,6,0.360553442577422,0.0335969150700013,0.542962422546984,0.427134345782963,0.411406319433075,0.476642710472279,0.382768361581921,0.907,0.95575975975976,6,0,0,0,0,0,0,0,0,0,0
"3","cmeans_CardSil",0.353291139054235,0.0310780353272385,0.472076903494877,0.804322671354463,0.796683170843755,0.831655943627451,0.77788773664387,0.941,0.994570570570571,18,0.353291139054235,0.0310780353272385,0.472076903494877,0.804322671354463,0.796683170843755,0.831655943627451,0.77788773664387,0.941,0.994570570570571,18,0.353291139054235,0.0310780353272385,0.472076903494877,0.804322671354463,0.796683170843755,0.831655943627451,0.77788773664387,0.941,0.994570570570571,18,0,0,0,0,0,0,0,0,0,0
"4","cmeans_Silhouette",0.135837393644926,0.0285615631376801,0.544440590415925,0.465299449599361,0.464968779192684,0.448544666829387,0.482680084745763,0.909,0.94551951951952,5,0.135837393644926,0.0285615631376801,0.544440590415925,0.465299449599361,0.464968779192684,0.448544666829387,0.482680084745763,0.909,0.94551951951952,5,0.135837393644926,0.0285615631376801,0.544440590415925,0.465299449599361,0.464968779192684,0.448544666829387,0.482680084745763,0.909,0.94551951951952,5,0,0,0,0,0,0,0,0,0,0
"5","cmeans_FuzzySilhouette",0.135837393644926,0.0285615631376801,0.544440590415925,0.465299449599361,0.464968779192684,0.448544666829387,0.482680084745763,0.909,0.94551951951952,5,0.135837393644926,0.0285615631376801,0.544440590415925,0.465299449599361,0.464968779192684,0.448544666829387,0.482680084745763,0.909,0.94551951951952,5,0.135837393644926,0.0285615631376801,0.544440590415925,0.465299449599361,0.464968779192684,0.448544666829387,0.482680084745763,0.909,0.94551951951952,5,0,0,0,0,0,0,0,0,0,0
"6","cmeans_Mass25",0.0209758555408705,0.0124899942985198,0.503400862598391,0.41047178822969,0.402478986395493,0.428468097493191,0.395287039101992,0.8992,0.954228428428428,9.6,-0.00717139964634088,-0.0029230370973759,0.499496731624924,0.37593667594568,0.375697371899217,0.363230688935282,0.382768361581921,0.887,0.946656656656657,9,0.044245102455153,0.0237646076897913,0.522845787877879,0.465299449599361,0.464968779192684,0.476642710472279,0.482680084745763,0.909,0.957821821821822,11,0.0233330714340545,0.0125894471733409,0.00664834870619191,0.0302737055779842,0.0267814862913986,0.0538801570303411,0.0292829073367375,0.00997797574661306,0.00385887456323076,0.663324958071078
"7","cmeans_Mass50",-0.00129358626128903,0.0211296578502436,0.515515178201925,0.500293041019729,0.463726329738208,0.548999375870702,0.456511113589057,0.908,0.950506506506506,10.8,-0.017060257083903,-0.0029230370973759,0.499496731624924,0.37593667594568,0.375697371899217,0.363230688935282,0.382768361581921,0.887,0.946668668668669,9,0.0284856104135031,0.023891964618245,0.525342692942321,0.557598449483787,0.50455782786394,0.616139156392484,0.504619821092279,0.912,0.957747747747748,12,0.0199951215199126,0.00801811613041076,0.00964973254853082,0.0715713271052476,0.0509553876330623,0.0878993554581182,0.0589462985597335,0.00734846922834943,0.00495545773528946,1.32664991614216
"8","cmeans_Mass100",0.217283913322927,0.0185584995923997,0.441871373636565,0.804322671354463,0.796683170843755,0.831655943627451,0.77788773664387,0.941,0.995091091091091,28,0.217283913322927,0.0185584995923997,0.441871373636565,0.804322671354463,0.796683170843755,0.831655943627451,0.77788773664387,0.941,0.995091091091091,28,0.217283913322927,0.0185584995923997,0.441871373636565,0.804322671354463,0.796683170843755,0.831655943627451,0.77788773664387,0.941,0.995091091091091,28,0,0,0,0,0,0,0,0,0,0
"9","ecm_CardSil",0.356851253546221,0.0348928712608506,0.479066741242611,0.821799774832839,0.805465415156941,0.890931928579054,0.758031953117256,0.949,0.995903703703704,20,0.353147175184555,0.0347728046567775,0.478845166250062,0.821799774832839,0.805465415156941,0.890931928579054,0.758031953117256,0.949,0.995847847847848,20,0.390187958801212,0.035973470697508,0.481060916175551,0.821799774832839,0.805465415156941,0.890931928579054,0.758031953117256,0.949,0.99590990990991,20,0.0111122350849967,0.000360199812218879,0.000664724977642728,0,0,0,0,0,1.86186177946831e-05,0
"10","ecm_Silhouette",0.223417728452205,0.046675017979971,0.552575794110972,0.430328034669121,0.416192526526219,0.476875642343268,0.388323917137476,0.908,0.951713713713714,6,0.223417728452205,0.046675017979971,0.552575794110972,0.430328034669121,0.416192526526219,0.476875642343268,0.388323917137476,0.908,0.951713713713714,6,0.223417728452205,0.046675017979971,0.552575794110972,0.430328034669121,0.416192526526219,0.476875642343268,0.388323917137476,0.908,0.951713713713714,6,0,0,0,0,0,0,0,0,0,0
